titolo,settore,base_migliaia,perc_qualsiasi
Fino a sec. inferiore (ISCED 0-2),Info e comunicazione,27,17.8
Fino a sec. inferiore (ISCED 0-2),Finanza e assicurazioni,12,11.2
Fino a sec. inferiore (ISCED 0-2),Altri servizi collettivi e personali,556,3.4
Fino a sec. inferiore (ISCED 0-2),Immobiliari e servizi alle imprese,443,2.7
Fino a sec. inferiore (ISCED 0-2),P.A. e difesa,111,2.1
Fino a sec. inferiore (ISCED 0-2),Commercio,988,2
Fino a sec. inferiore (ISCED 0-2),"Agricoltura, silvicoltura, pesca",485,1.5
Fino a sec. inferiore (ISCED 0-2),Industria in senso stretto,1562,1.1
Fino a sec. inferiore (ISCED 0-2),Alberghi e ristoranti,574,1
Fino a sec. inferiore (ISCED 0-2),Costruzioni,828,0.8
Fino a sec. inferiore (ISCED 0-2),Trasporto e magazzinaggio,397,0.7
Fino a sec. inferiore (ISCED 0-2),"Istruzione, sanita', servizi sociali",317,0.7
Sec. superiore (ISCED 3-4),Info e comunicazione,354,32.4
Sec. superiore (ISCED 3-4),Finanza e assicurazioni,265,19
Sec. superiore (ISCED 3-4),Immobiliari e servizi alle imprese,1208,12.9
Sec. superiore (ISCED 3-4),Altri servizi collettivi e personali,859,5.7
Sec. superiore (ISCED 3-4),P.A. e difesa,636,5.4
Sec. superiore (ISCED 3-4),"Istruzione, sanita', servizi sociali",1210,4.8
Sec. superiore (ISCED 3-4),Commercio,1907,4.4
Sec. superiore (ISCED 3-4),Industria in senso stretto,2441,3.7
Sec. superiore (ISCED 3-4),Costruzioni,776,3.4
Sec. superiore (ISCED 3-4),Trasporto e magazzinaggio,666,2.8
Sec. superiore (ISCED 3-4),"Agricoltura, silvicoltura, pesca",307,2.4
Sec. superiore (ISCED 3-4),Alberghi e ristoranti,913,2
Terziario (ISCED 5-8),Info e comunicazione,329,43.7
Terziario (ISCED 5-8),Finanza e assicurazioni,299,28.7
Terziario (ISCED 5-8),Immobiliari e servizi alle imprese,1170,28.3
Terziario (ISCED 5-8),Industria in senso stretto,730,20.9
Terziario (ISCED 5-8),Altri servizi collettivi e personali,299,17.9
Terziario (ISCED 5-8),P.A. e difesa,445,16.9
Terziario (ISCED 5-8),Trasporto e magazzinaggio,140,15
Terziario (ISCED 5-8),Commercio,404,13.8
Terziario (ISCED 5-8),Costruzioni,76,12.2
Terziario (ISCED 5-8),"Istruzione, sanita', servizi sociali",2176,10.9
Terziario (ISCED 5-8),Alberghi e ristoranti,132,5.8
Terziario (ISCED 5-8),"Agricoltura, silvicoltura, pesca",42,5.6
