cat12,base_migliaia,perc_qualsiasi,perc_frequente,settore
7,329,43.7,22.3,Info e comunicazione
8,299,28.7,7.1,Finanza e assicurazioni
9,1170,28.3,10.2,Immobiliari e servizi alle imprese
2,730,20.9,5.3,Industria in senso stretto
12,299,17.9,8,Altri servizi collettivi e personali
10,445,16.9,2,P.A. e difesa
6,140,15,3.7,Trasporto e magazzinaggio
4,404,13.8,4.8,Commercio
3,76,12.2,2.7,Costruzioni
11,2176,10.9,1.8,"Istruzione, sanita', servizi sociali"
5,132,5.8,1.5,Alberghi e ristoranti
1,42,5.6,2.4,"Agricoltura, silvicoltura, pesca"
