settore,cat12,base_2021,base_2025,qualsiasi_2021,qualsiasi_2025,var_qualsiasi_pp,frequente_2021,frequente_2025,var_frequente_pp
Informazione e comunicazione,7,655,710,61,37.1,-23.8,48.4,18.3,-30.1
Finanza e assicurazioni,8,624,576,42.8,23.8,-19,27.4,6,-21.4
Immobiliari e servizi alle imprese,9,2595,2822,28.8,17.7,-11.1,15.8,6.8,-9
P.A. e difesa,10,1145,1192,23.9,9.4,-14.5,12.1,1.2,-10.8
"Istruzione, sanita', servizi sociali",11,3495,3703,18.3,8,-10.3,7.9,1.3,-6.6
Industria in senso stretto,2,4571,4732,8.9,5.5,-3.3,4.9,1.5,-3.3
Altri servizi collettivi e personali,12,1646,1715,8.7,7.1,-1.6,5.8,4.1,-1.7
Commercio,4,3099,3298,8.5,4.9,-3.6,4,1.5,-2.5
Trasporto e magazzinaggio,6,1140,1203,7.3,3.6,-3.7,4.4,0.9,-3.4
Costruzioni,3,1425,1681,4.2,2.5,-1.6,1.6,0.5,-1.1
"Agricoltura, silvicoltura, pesca",1,912,834,3.5,2,-1.5,1.7,1.2,-0.5
Alberghi e ristoranti,5,1198,1619,2.6,1.9,-0.6,1.6,0.8,-0.8
