geo,age_band,usually,sometimes,never,any_remote
NL,15-64,11.3,41,47.7,52.3
SE,15-64,12.4,32.1,55.5,44.5
NO,15-64,5.4,37.6,57,43
LU,15-64,11.2,31.7,57.1,42.9
FI,15-64,20.5,21,58.6,41.5
DK,15-64,7.6,33.1,59.3,40.7
CH,15-64,7.2,32.2,60.6,39.4
BE,15-64,13.2,23.9,62.9,37.1
IE,15-64,19.2,16.6,64.2,35.8
FR,15-64,11,24.4,64.5,35.4
AT,15-64,10.8,17.8,71.4,28.6
EE,15-64,11.6,16.8,71.7,28.4
MT,15-64,12.5,13.4,74.1,25.9
DE,15-64,13,11.7,75.4,24.7
EA21,15-64,9.6,14.6,75.8,24.2
EU27_2020,15-64,8.8,14.2,77,23
PT,15-64,8.9,12.4,78.7,21.3
SI,15-64,7.3,11.9,80.8,19.2
CZ,15-64,6.6,10.3,83.1,16.9
SK,15-64,7.3,9.5,83.2,16.8
PL,15-64,6.1,10.2,83.7,16.3
ES,15-64,7.9,7.8,84.3,15.7
CY,15-64,4.2,10.1,85.7,14.3
HR,15-64,4.7,9.2,86.1,13.9
LT,15-64,5.1,7.5,87.4,12.6
LV,15-64,8.5,4.1,87.5,12.6
BA,15-64,4.9,5.5,89.6,10.4
HU,15-64,4.1,5.7,90.2,9.8
IT,15-64,2.7,5.5,91.8,8.2
RS,15-64,3.6,3.4,92.9,7
EL,15-64,2.3,4.4,93.3,6.7
BG,15-64,1.4,2.6,96,4
MK,15-64,1.9,2.1,96,4
RO,15-64,1.3,2.3,96.4,3.6
