anno,trim,trimestre,era,perc_qualsiasi_c48,perc_qualsiasi_qc52,perc_frequente_c48,perc_frequente_qc52,occupati_base_migliaia,n_obs_base
2015,1,2015 Q1,C48,4.47,NA,3.48,NA,22144901.59999992,32864
2015,2,2015 Q2,C48,4.43,NA,3.5,NA,22478318.200000014,33738
2015,3,2015 Q3,C48,4.25,NA,3.28,NA,22617416.599999838,34912
2015,4,2015 Q4,C48,4.37,NA,3.35,NA,22527418.600000065,34673
2016,1,2016 Q1,C48,4.59,NA,3.56,NA,22375010.699999943,33731
2016,2,2016 Q2,C48,4.57,NA,3.53,NA,22907679.300000098,32187
2016,3,2016 Q3,C48,4.4,NA,3.42,NA,22850519.399999995,34769
2016,4,2016 Q4,C48,4.25,NA,3.36,NA,22786550.70000006,31963
2017,1,2017 Q1,C48,4.4,NA,3.41,NA,22681568.70000015,33418
2017,2,2017 Q2,C48,4.64,NA,3.47,NA,23048907.79999988,33291
2017,3,2017 Q3,C48,4.68,NA,3.68,NA,23158726.400000043,32896
2017,4,2017 Q4,C48,4.9,NA,3.71,NA,23059550.000000015,31884
2018,1,2018 Q1,C48,5.35,NA,4.14,NA,22839250.00000009,33270
2018,2,2018 Q2,C48,5.05,NA,3.61,NA,23440232.300000247,32584
2018,3,2018 Q3,C48,4.44,NA,3.44,NA,23309973.899999928,31954
2018,4,2018 Q4,C48,4.81,NA,3.57,NA,23144953.60000007,31699
2019,1,2019 Q1,C48,4.78,NA,3.61,NA,22998042.09999997,32349
2019,2,2019 Q2,C48,4.67,NA,3.71,NA,23526110.1000001,34349
2019,3,2019 Q3,C48,4.42,NA,3.47,NA,23450037.299999837,34346
2019,4,2019 Q4,C48,4.9,NA,3.78,NA,23346680.999999844,32296
2020,1,2020 Q1,C48,8.07,NA,6.85,NA,23042538.60000023,32176
2020,2,2020 Q2,C48,19.6,NA,18.35,NA,22692696.700000104,33999
2020,3,2020 Q3,C48,12.4,NA,11.06,NA,22828566.000000063,32803
2020,4,2020 Q4,C48,14.9,NA,13.21,NA,22936951.29999988,33969
2021,1,2021 Q1,QC52,NA,19.18,NA,11.83,21794195,43307
2021,2,2021 Q2,QC52,NA,15.73,NA,9.14,22526582.399999853,45426
2021,3,2021 Q3,QC52,NA,11.73,NA,6.43,22828675.49999989,45483
2021,4,2021 Q4,QC52,NA,13.02,NA,5.91,22873708.700000025,47687
2022,1,2022 Q1,QC52,NA,13.35,NA,6.1,22686509.5000003,48112
2022,2,2022 Q2,QC52,NA,12.44,NA,4.98,23193089.099999715,46417
2022,3,2022 Q3,QC52,NA,11.03,NA,4.91,23074522.599999804,44059
2022,4,2022 Q4,QC52,NA,12.08,NA,4.77,23234121.800000053,46042
2023,1,2023 Q1,QC52,NA,12.35,NA,4.59,23197026.69999983,46767
2023,2,2023 Q2,QC52,NA,11.73,NA,4.36,23576978.499999892,44941
2023,3,2023 Q3,QC52,NA,11.23,NA,4.24,23525814.29999969,45420
2023,4,2023 Q4,QC52,NA,12.85,NA,4.53,23745139.09999999,45214
2024,1,2024 Q1,QC52,NA,12.23,NA,4.18,23582510.59999997,43531
2024,2,2024 Q2,QC52,NA,11.06,NA,4.08,23896606.099999983,40204
2024,3,2024 Q3,QC52,NA,9.62,NA,3.58,24064504.59999983,41430
2024,4,2024 Q4,QC52,NA,8.53,NA,3.2,23924681.100000054,44453
2025,1,2025 Q1,QC52,NA,8.54,NA,2.89,24031670.79999987,43493
2025,2,2025 Q2,QC52,NA,8.07,NA,2.5,24174015.8000001,43434
2025,3,2025 Q3,QC52,NA,7.99,NA,2.7,24089307.000000145,44174
2025,4,2025 Q4,QC52,NA,8.37,NA,2.82,24043994.500000197,43808
