anno,trim,era,occupati_base,n_obs_base,stima_1,stima_2,stima_3,stima_4,qualsiasi_lavoro_casa,frequente_lavoro_casa,perc_qualsiasi,perc_frequente,trimestre
2015,1,C48,22144901.59999992,32864,770570.9000000001,219969.40000000005,21154361.29999992,0,990540.3000000002,770570.9000000001,4.47,3.48,2015 Q1
2015,2,C48,22478318.200000014,33738,786896.1999999989,208843.89999999982,21482578.100000016,0,995740.0999999987,786896.1999999989,4.43,3.5,2015 Q2
2015,3,C48,22617416.599999838,34912,742503.6000000016,218370.29999999987,21656542.699999835,0,960873.9000000015,742503.6000000016,4.25,3.28,2015 Q3
2015,4,C48,22527418.600000065,34673,754343.999999998,229675.1,21543399.500000067,0,984019.099999998,754343.999999998,4.37,3.35,2015 Q4
2016,1,C48,22375010.699999943,33731,795506.2000000015,230745.50000000006,21348758.99999994,0,1026251.7000000016,795506.2000000015,4.59,3.56,2016 Q1
2016,2,C48,22907679.300000098,32187,807732.6999999994,239785.99999999994,21860160.6000001,0,1047518.6999999993,807732.6999999994,4.57,3.53,2016 Q2
2016,3,C48,22850519.399999995,34769,781868.7000000004,222755.09999999998,21845895.599999994,0,1004623.8000000004,781868.7000000004,4.4,3.42,2016 Q3
2016,4,C48,22786550.70000006,31963,765378.5000000008,203039.5,21818132.70000006,0,968418.0000000008,765378.5000000008,4.25,3.36,2016 Q4
2017,1,C48,22681568.70000015,33418,774439.0000000001,223868.4000000001,21683261.30000015,0,998307.4000000003,774439.0000000001,4.4,3.41,2017 Q1
2017,2,C48,23048907.79999988,33291,798972.5000000001,270765.49999999977,21979169.79999988,0,1069738,798972.5000000001,4.64,3.47,2017 Q2
2017,3,C48,23158726.400000043,32896,851863.3999999991,232148.60000000006,22074714.400000043,0,1084011.999999999,851863.3999999991,4.68,3.68,2017 Q3
2017,4,C48,23059550.000000015,31884,855287.7000000004,274158.4999999999,21930103.800000016,0,1129446.2000000002,855287.7000000004,4.9,3.71,2017 Q4
2018,1,C48,22839250.00000009,33270,945230.6999999996,276785.69999999995,21617233.60000009,0,1222016.3999999994,945230.6999999996,5.35,4.14,2018 Q1
2018,2,C48,23440232.300000247,32584,846086.9999999998,336948.4999999999,22257196.800000247,0,1183035.4999999995,846086.9999999998,5.05,3.61,2018 Q2
2018,3,C48,23309973.899999928,31954,802924.3000000003,233063.7000000002,22273985.899999928,0,1035988.0000000005,802924.3000000003,4.44,3.44,2018 Q3
2018,4,C48,23144953.60000007,31699,825924.6999999989,286664.2999999999,22032364.60000007,0,1112588.9999999988,825924.6999999989,4.81,3.57,2018 Q4
2019,1,C48,22998042.09999997,32349,829363.800000001,270820.3000000001,21897857.99999997,0,1100184.100000001,829363.800000001,4.78,3.61,2019 Q1
2019,2,C48,23526110.1000001,34349,873752.2999999997,225587.50000000012,22426770.300000098,0,1099339.7999999998,873752.2999999997,4.67,3.71,2019 Q2
2019,3,C48,23450037.299999837,34346,814854.3000000002,221051.00000000006,22414131.999999836,0,1035905.3000000003,814854.3000000002,4.42,3.47,2019 Q3
2019,4,C48,23346680.999999844,32296,881636.300000001,263016.2999999999,22202028.399999842,0,1144652.6000000008,881636.300000001,4.9,3.78,2019 Q4
2020,1,C48,23042538.60000023,32176,1577749.2999999998,282051.7000000003,21182737.60000023,0,1859801,1577749.2999999998,8.07,6.85,2020 Q1
2020,2,C48,22692696.700000104,33999,4165239.1999999946,282243.0000000001,18245214.500000108,0,4447482.199999995,4165239.1999999946,19.6,18.35,2020 Q2
2020,3,C48,22828566.000000063,32803,2524599.400000004,306647.30000000016,19997319.30000006,0,2831246.7000000044,2524599.400000004,12.4,11.06,2020 Q3
2020,4,C48,22936951.29999988,33969,3029503.2000000044,388705.39999999985,19518742.699999876,0,3418208.6000000043,3029503.2000000044,14.9,13.21,2020 Q4
2021,1,QC52,21794195,43307,2578336,1601189,17614670,0,4179525,2578336,19.18,11.83,2021 Q1
2021,2,QC52,22526582.399999853,45426,2058750.4000000006,1484121.6000000024,18983710.39999985,0,3542872.000000003,2058750.4000000006,15.73,9.14,2021 Q2
2021,3,QC52,22828675.49999989,45483,1468314.4999999986,1210009.3,20150351.69999989,0,2678323.799999999,1468314.4999999986,11.73,6.43,2021 Q3
2021,4,QC52,22873708.700000025,47687,1351598.0999999994,1626402.200000003,19895708.40000002,0,2978000.3000000026,1351598.0999999994,13.02,5.91,2021 Q4
2022,1,QC52,22686509.5000003,48112,1173376.8999999976,1645254.300000003,19657598.0000003,210280.3000000001,3028911.500000001,1383657.1999999976,13.35,6.1,2022 Q1
2022,2,QC52,23193089.099999715,46417,981563.4999999992,1728305.5000000019,20308872.299999714,174347.7999999999,2884216.8000000007,1155911.299999999,12.44,4.98,2022 Q2
2022,3,QC52,23074522.599999804,44059,912169.8999999998,1410660.2000000023,20530409.999999803,221282.4999999998,2544112.600000002,1133452.3999999997,11.03,4.91,2022 Q3
2022,4,QC52,23234121.800000053,46042,899925.1999999984,1698204.600000001,20426815.500000052,209176.49999999985,2807306.2999999993,1109101.6999999983,12.08,4.77,2022 Q4
2023,1,QC52,23197026.69999983,46767,875180.8000000032,1799061.2999999963,20332627.99999983,190156.60000000018,2864398.6999999997,1065337.4000000034,12.35,4.59,2023 Q1
2023,2,QC52,23576978.499999892,44941,804692.1000000011,1736487.3999999987,20812444.799999893,223354.20000000007,2764533.7,1028046.3000000012,11.73,4.36,2023 Q2
2023,3,QC52,23525814.29999969,45420,741407.2000000007,1645914.3000000047,20882808.699999686,255684.10000000024,2643005.6000000057,997091.3000000009,11.23,4.24,2023 Q3
2023,4,QC52,23745139.09999999,45214,808125.9000000008,1975320.199999999,20693338.79999999,268354.2000000003,3051800.3,1076480.100000001,12.85,4.53,2023 Q4
2024,1,QC52,23582510.59999997,43531,742497.599999998,1898017.200000003,20698005.19999997,243990.59999999998,2884505.400000001,986488.199999998,12.23,4.18,2024 Q1
2024,2,QC52,23896606.099999983,40204,746679.600000001,1668550.1000000031,21253415.09999998,227961.3,2643191.0000000037,974640.9000000011,11.06,4.08,2024 Q2
2024,3,QC52,24064504.59999983,41430,660404.9999999998,1453432.0000000026,21749752.199999828,200915.39999999997,2314752.4000000022,861320.3999999997,9.62,3.58,2024 Q3
2024,4,QC52,23924681.100000054,44453,566315.0999999996,1275219.0999999992,21884369.700000055,198777.1999999999,2040311.3999999987,765092.2999999996,8.53,3.2,2024 Q4
2025,1,QC52,24031670.79999987,43493,536557.2000000001,1357594.300000001,21978819.79999987,158699.49999999997,2052851.000000001,695256.7000000001,8.54,2.89,2025 Q1
2025,2,QC52,24174015.8000001,43434,447297.0999999997,1348061.4999999995,22222464.800000105,156192.40000000002,1951550.999999999,603489.4999999998,8.07,2.5,2025 Q2
2025,3,QC52,24089307.000000145,44174,442931.6000000003,1274316.2000000007,22164087.100000143,207972.1000000001,1925219.900000001,650903.7000000004,7.99,2.7,2025 Q3
2025,4,QC52,24043994.500000197,43808,467859.59999999974,1334460.900000001,22031901.8000002,209772.19999999998,2012092.700000001,677631.7999999997,8.37,2.82,2025 Q4
