month,mese,Stati Uniti,Donald Trump,Joe Biden
2022-10,2022-10-01,1,0,0
2022-11,2022-11-01,1,0,0
2022-12,2022-12-01,7,0,2
2023-01,2023-01-01,0,0,0
2023-02,2023-02-01,5,0,0
2023-03,2023-03-01,0,0,1
2023-04,2023-04-01,0,0,0
2023-05,2023-05-01,1,0,3
2023-06,2023-06-01,2,0,0
2023-07,2023-07-01,57,4,28
2023-08,2023-08-01,0,0,0
2023-09,2023-09-01,2,0,0
2023-10,2023-10-01,1,0,0
2023-11,2023-11-01,0,0,0
2023-12,2023-12-01,1,0,0
2024-01,2024-01-01,1,0,0
2024-02,2024-02-01,4,0,0
2024-03,2024-03-01,21,0,6
2024-04,2024-04-01,1,0,0
2024-05,2024-05-01,0,0,1
2024-06,2024-06-01,11,0,3
2024-07,2024-07-01,0,0,0
2024-09,2024-09-01,24,3,7
2024-10,2024-10-01,2,0,0
2024-11,2024-11-01,16,1,4
2024-12,2024-12-01,1,1,0
2025-01,2025-01-01,30,28,4
2025-02,2025-02-01,1,0,0
2025-03,2025-03-01,17,3,0
2025-04,2025-04-01,18,12,0
2025-05,2025-05-01,48,5,1
2025-06,2025-06-01,30,23,1
2025-07,2025-07-01,28,11,0
2025-08,2025-08-01,7,1,0
2025-09,2025-09-01,3,0,0
2025-10,2025-10-01,32,10,0
2025-11,2025-11-01,3,0,0
2025-12,2025-12-01,12,3,0
2026-01,2026-01-01,22,14,0
2026-02,2026-02-01,2,0,0
2026-03,2026-03-01,13,0,0
2026-04,2026-04-01,29,3,0
2026-05,2026-05-01,5,0,0
2026-06,2026-06-01,0,0,0
