"","partenza","partenze","arrivi","diff"
"1","Lombardia",-1048088,1376869,328781
"2","Emilia-Romagna",-584205,892594,308389
"3","Toscana",-419782,550427,130645
"4","Veneto",-458411,566491,108080
"5","Lazio",-679965,761524,81559
"6","Piemonte",-537438,607381,69943
"7","Friuli-Venezia Giulia",-148615,202625,54010
"8","Trentino-Alto Adige",-100521,154370,53849
"9","Liguria",-264136,302712,38576
"10","Marche",-195685,232347,36662
"11","Umbria",-134799,155216,20417
"12","Abruzzo",-193179,196269,3090
"13","Valle d'Aosta",-28367,30372,2005
"14","Sardegna",-173772,162256,-11516
"15","Molise",-67655,53575,-14080
"16","Basilicata",-116046,65660,-50386
"17","Calabria",-415995,232570,-183425
"18","Puglia",-573571,350142,-223429
"19","Sicilia",-684312,403108,-281204
"20","Campania",-958945,486979,-471966
