"","partenza","arrivo","value"
"1","Abruzzo","Basilicata",1053
"2","Abruzzo","Calabria",2118
"3","Abruzzo","Campania",13574
"4","Abruzzo","Emilia-Romagna",21627
"5","Abruzzo","Friuli-Venezia Giulia",2663
"6","Abruzzo","Lazio",47593
"7","Abruzzo","Liguria",2442
"8","Abruzzo","Lombardia",25259
"9","Abruzzo","Marche",20346
"10","Abruzzo","Molise",5714
"11","Abruzzo","Piemonte",8295
"12","Abruzzo","Puglia",11294
"13","Abruzzo","Sardegna",1792
"14","Abruzzo","Sicilia",4287
"15","Abruzzo","Toscana",8822
"16","Abruzzo","Trentino-Alto Adige",2769
"17","Abruzzo","Umbria",3424
"18","Abruzzo","Valle d'Aosta",286
"19","Abruzzo","Veneto",9821
"20","Basilicata","Abruzzo",2316
"21","Basilicata","Calabria",4794
"22","Basilicata","Campania",11425
"23","Basilicata","Emilia-Romagna",16364
"24","Basilicata","Friuli-Venezia Giulia",1500
"25","Basilicata","Lazio",14703
"26","Basilicata","Liguria",1505
"27","Basilicata","Lombardia",19045
"28","Basilicata","Marche",2203
"29","Basilicata","Molise",488
"30","Basilicata","Piemonte",7796
"31","Basilicata","Puglia",15200
"32","Basilicata","Sardegna",494
"33","Basilicata","Sicilia",1669
"34","Basilicata","Toscana",8746
"35","Basilicata","Trentino-Alto Adige",1138
"36","Basilicata","Umbria",1694
"37","Basilicata","Valle d'Aosta",170
"38","Basilicata","Veneto",4796
"39","Calabria","Abruzzo",3716
"40","Calabria","Basilicata",5003
"41","Calabria","Campania",20778
"42","Calabria","Emilia-Romagna",54122
"43","Calabria","Friuli-Venezia Giulia",5870
"44","Calabria","Lazio",59283
"45","Calabria","Liguria",10388
"46","Calabria","Lombardia",107927
"47","Calabria","Marche",5490
"48","Calabria","Molise",933
"49","Calabria","Piemonte",40480
"50","Calabria","Puglia",12931
"51","Calabria","Sardegna",2422
"52","Calabria","Sicilia",19809
"53","Calabria","Toscana",29268
"54","Calabria","Trentino-Alto Adige",5566
"55","Calabria","Umbria",6535
"56","Calabria","Valle d'Aosta",2400
"57","Calabria","Veneto",23074
"58","Campania","Abruzzo",26353
"59","Campania","Basilicata",11708
"60","Campania","Calabria",24255
"61","Campania","Emilia-Romagna",146979
"62","Campania","Friuli-Venezia Giulia",26152
"63","Campania","Lazio",170763
"64","Campania","Liguria",20508
"65","Campania","Lombardia",180040
"66","Campania","Marche",30313
"67","Campania","Molise",15815
"68","Campania","Piemonte",54852
"69","Campania","Puglia",27724
"70","Campania","Sardegna",9735
