"","arrivo","Abruzzo","Basilicata","Calabria","Campania","Emilia-Romagna","Friuli-Venezia Giulia","Lazio","Liguria","Lombardia","Marche","Molise","Piemonte","Puglia","Sardegna","Sicilia","Toscana","Trentino-Alto Adige","Umbria","Valle d'Aosta","Veneto"
"1","Abruzzo",NA,2316,3716,26353,12120,1809,48302,2046,18226,17348,10815,7345,20818,1903,5947,6092,1418,3426,309,5960
"2","Basilicata",1053,NA,5003,11708,5573,585,5681,917,7800,952,397,4002,13285,437,1847,3321,457,671,143,1828
"3","Calabria",2118,4794,NA,24255,23000,2397,26178,6282,54581,2636,835,25528,9357,1904,18245,12497,2408,3203,1794,10558
"4","Campania",13574,11425,20778,NA,65415,11308,82816,9663,77734,15226,10192,29807,23575,6654,19769,44625,5383,11840,864,26331
"5","Emilia-Romagna",21627,16364,54122,146979,NA,9885,50637,17293,141435,40636,7613,36077,103033,19148,93906,49447,9653,11261,2269,61209
"6","Friuli-Venezia Giulia",2663,1500,5870,26152,9170,NA,16035,3122,18742,2890,712,6949,15434,3730,21243,6434,3514,1723,433,56309
"7","Lazio",47593,14703,59283,170763,34533,10960,NA,13154,70934,20784,11829,29220,63737,24531,64209,53297,6741,34190,1148,29915
"8","Liguria",2442,1505,10388,20508,15957,2877,14477,NA,64824,3046,608,76464,10938,7924,21287,35554,1918,2083,1584,8328
"9","Lombardia",25259,19045,107927,180040,128800,18308,100933,55333,NA,26011,6733,146719,128827,39027,191050,63655,18377,13689,3769,103367
"10","Marche",20346,2203,5490,30313,33577,2547,27104,2741,26064,NA,2111,9166,24667,2956,13099,9346,2206,8928,388,9095
"11","Molise",5714,488,933,15815,2878,332,8173,395,3521,1035,NA,1791,7791,361,1090,1331,327,473,61,1066
"12","Piemonte",8295,7796,40480,54852,26459,5766,33441,73003,151817,7622,2541,NA,41256,19008,71858,22869,4046,4992,10140,21140
"13","Puglia",11294,15200,12931,27724,47385,7786,35619,6944,70003,13930,5201,26468,NA,4005,16033,16397,5236,3964,803,23219
"14","Sardegna",1792,494,2422,9735,13757,2784,24044,8120,36615,2334,430,20235,4519,NA,7254,11998,2368,1938,1036,10381
"15","Sicilia",4287,1669,19809,21037,47778,10309,35782,13603,101545,8290,948,44782,13320,6302,NA,31682,5756,4420,1191,30598
"16","Toscana",8822,8746,29268,95797,41324,5771,65798,36487,66281,10631,2711,26865,31040,15581,53714,NA,4880,20208,1078,25425
"17","Trentino-Alto Adige",2769,1138,5566,14631,11555,3752,12845,2898,24850,3033,741,5829,11305,3774,12732,6167,NA,1767,248,28770
"18","Umbria",3424,1694,6535,21522,6797,1338,46898,1719,10093,7897,879,4283,6700,2318,7059,20649,1091,NA,154,4166
"19","Valle d'Aosta",286,170,2400,1586,1030,222,1393,1814,4630,284,83,10700,936,1122,1725,864,160,221,NA,746
"20","Veneto",9821,4796,23074,59175,57097,49879,43809,8602,98393,11100,2276,25208,43033,13087,62245,23557,24582,5802,955,NA
