"Bilancio demografico e popolazione residente al 31 dicembre 2025"
"Codice comune";"Comune";"Popolazione censita al 1° gennaio - Maschi";"Nati vivi - Maschi";"Morti - Maschi";"Saldo naturale - Maschi";"Immigrati da altro comune - Maschi";"Emigrati per altro comune - Maschi";"Saldo migratorio interno - Maschi";"Immigrati dall'estero - Maschi";"Emigrati per l'estero - Maschi";"Saldo migratorio con l'estero - Maschi";"Unità in più/meno dovute a variazioni territoriali - Maschi";"Popolazione al 31 dicembre - Maschi";"Iscritti in anagrafe per altri motivi - Maschi (v)";"Cancellati dall'anagrafe per altri motivi - Maschi (v)";"Popolazione censita al 1° gennaio - Femmine";"Nati vivi - Femmine";"Morti - Femmine";"Saldo naturale - Femmine";"Immigrati da altro comune - Femmine";"Emigrati per altro comune - Femmine";"Saldo migratorio interno - Femmine";"Immigrati dall'estero - Femmine";"Emigrati per l'estero - Femmine";"Saldo migratorio con l'estero - Femmine";"Unità in più/meno dovute a variazioni territoriali - Femmine";"Popolazione al 31 dicembre - Femmine";"Iscritti in anagrafe per altri motivi - Femmine (v)";"Cancellati dall'anagrafe per altri motivi - Femmine (v)";"Popolazione censita al 1° gennaio - Totale";"Nati vivi - Totale";"Morti - Totale";"Saldo naturale - Totale";"Immigrati da altro comune - Totale";"Emigrati per altro comune - Totale";"Saldo migratorio interno - Totale";"Immigrati dall'estero - Totale";"Emigrati per l'estero - Totale";"Saldo migratorio con l'estero - Totale";"Unità in più/meno dovute a variazioni territoriali - Totale";"Popolazione al 31 dicembre - Totale";"Iscritti in anagrafe per altri motivi - Totale (v)";"Cancellati dall'anagrafe per altri motivi - Totale (v)";"Informazioni"
"028001";"Abano Terme";9777;59;103;-44;344;321;23;83;34;49;0;9805;22;29;10687;52;125;-73;386;366;20;81;41;40;0;10674;17;29;20464;111;228;-117;730;687;43;164;75;89;0;20479;39;58;"p"
"098001";"Abbadia Cerreto";138;1;2;-1;4;3;1;1;0;1;0;139;0;0;137;0;1;-1;5;1;4;1;0;1;0;141;0;0;275;1;3;-2;9;4;5;2;0;2;0;280;0;0;"p"
"097001";"Abbadia Lariana";1541;8;12;-4;50;49;1;2;3;-1;0;1537;0;6;1623;5;7;-2;36;58;-22;4;2;2;0;1601;0;5;3164;13;19;-6;86;107;-21;6;5;1;0;3138;0;11;"p"
"052001";"Abbadia San Salvatore";3077;17;43;-26;61;85;-24;89;5;84;0;3111;1;7;3028;11;36;-25;56;59;-3;12;6;6;0;3006;1;2;6105;28;79;-51;117;144;-27;101;11;90;0;6117;2;9;"p"
"095001";"Abbasanta";1274;6;21;-15;16;32;-16;2;1;1;0;1244;0;1;1300;7;18;-11;26;24;2;6;2;4;0;1295;0;1;2574;13;39;-26;42;56;-14;8;3;5;0;2539;0;2;"p"
"068001";"Abbateggio";183;1;5;-4;3;5;-2;0;0;0;0;177;1;0;177;1;5;-4;6;10;-4;1;2;-1;0;168;0;0;360;2;10;-8;9;15;-6;1;2;-1;0;345;1;0;"p"
"015002";"Abbiategrasso";15972;112;180;-68;493;486;7;204;41;163;0;16074;11;31;16686;110;167;-57;430;464;-34;166;42;124;0;16719;3;15;32658;222;347;-125;923;950;-27;370;83;287;0;32793;14;46;"p"
"047023";"Abetone Cutigliano";907;5;18;-13;30;17;13;5;1;4;0;911;1;2;922;3;13;-10;29;20;9;6;4;2;0;923;2;1;1829;8;31;-23;59;37;22;11;5;6;0;1834;3;3;"p"
"076001";"Abriola";595;2;11;-9;8;18;-10;5;2;3;0;579;0;0;630;3;11;-8;5;17;-12;7;1;6;0;616;0;0;1225;5;22;-17;13;35;-22;12;3;9;0;1195;0;0;"p"
"088001";"Acate";5700;44;41;3;175;181;-6;232;1;231;0;5928;4;49;4705;34;42;-8;85;100;-15;53;6;47;0;4729;2;53;10405;78;83;-5;260;281;-21;285;7;278;0;10657;6;102;"p"
