"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","World",NA,0.17296331993089595,0.1621097853272449,0.18443524461335106,0.06752526563940041,0.06246731374600692,0.07300017179436452,0.16654759454397502,0.15697722427802602,0.17669292546026671,0.4404251794706131,0.42618107934984306,0.4536324164376216,0.1525386384151155,0.14427837011545291,0.16072476182069478,0.04943422373883659,0.044697047061871026,0.05468119663250128,0.01353852371919448,0.01150845632168907,0.01591952252607173,0.004552518181369338,0.003550222386408905,0.005794551130235717
1981,"Women","World",NA,0.1708455605150512,0.1607970962900334,0.18136661900651002,0.06845419603266928,0.06378076613115842,0.07336087372008976,0.1648561551334725,0.156147924084102,0.1740868678830006,0.4417235507230354,0.4288023251177788,0.45405405580671937,0.15412053559577163,0.1465420606166169,0.1616241123902722,0.04999125458739633,0.04567917464646281,0.054778801614985995,0.013782601434104633,0.011892811372184675,0.015960633567885095,0.004680340011168324,0.0037376838116393403,0.005829376867943762
1982,"Women","World",NA,0.1686227123212942,0.15950142127530026,0.17825983582664617,0.06943154869207933,0.06511395460091929,0.07391833892264862,0.1631909107943245,0.15535697668966983,0.1715661415828312,0.4430488112351435,0.4314325492279639,0.4543114321889885,0.15570601495715847,0.1488624259777315,0.16262595888932463,0.050570823824512126,0.04658050723960717,0.054920189138959775,0.014041973586431541,0.012280481891673651,0.01607655464237403,0.004818751281135669,0.003926435589050284,0.005880983842392235
1983,"Women","World",NA,0.16630376796785928,0.15803479032231216,0.17513146099884827,0.07041497828324522,0.0664928080602858,0.07456089694476756,0.1615910018465303,0.15448421790840294,0.16926629706459073,0.44445288784291587,0.4337741993600484,0.45472827521971465,0.15723736205944935,0.15090853672481894,0.1636615149149537,0.0511419666961087,0.047537542976473786,0.05511414869867588,0.01430828105212076,0.01265370081875301,0.016147764077520492,0.004964730535015766,0.004125761506502523,0.005962295903237415
1984,"Women","World",NA,0.16396033147634154,0.15638405531528785,0.1721386960559943,0.07144605119616304,0.06782864482618028,0.07525452584299284,0.15997612774461795,0.15333066261425057,0.16699836093295897,0.44579178311896117,0.43627813720149483,0.4551936512516848,0.15882570446391633,0.15291452794200347,0.16476079413561245,0.05173748854341356,0.04841746860813738,0.055337088281896055,0.014588967567714807,0.013072135851160986,0.016299869046640724,0.005119595085034673,0.004319092568233852,0.006051245807630482
1985,"Women","World",NA,0.16162414700077027,0.15459249538747213,0.1691143377426269,0.07254284439059418,0.06921599854558942,0.0760336844981566,0.1583229156779594,0.15215919731092534,0.16477914069143165,0.44699447650107016,0.43827912062288815,0.45553593529262365,0.16051561442960596,0.15509352408197286,0.1659523604835067,0.052371139050641384,0.04928142165521307,0.05568178143173046,0.014887159908840193,0.013477061710922122,0.01646448768610028,0.005284545431112606,0.004519844203812412,0.006152877938205431
1986,"Women","World",NA,0.15926416178751582,0.15272026470993155,0.1662864557298015,0.07374089109269263,0.07064643675263992,0.07693916074371063,0.15660487368446202,0.15096513432517358,0.16249026887103812,0.44807764189408966,0.4401087577679793,0.45589394648166087,0.16231242954123992,0.15726141676578367,0.16735232297455366,0.053067138549367246,0.05024085962108363,0.056119264310014835,0.015210511996305456,0.013896034018370664,0.01666619971308733,0.005463240547019929,0.004730586803888122,0.006286623970189448
1987,"Women","World",NA,0.15690651629321087,0.1508440742743336,0.16336330316447917,0.07500678734013154,0.07209829585078306,0.07794849824489715,0.1548386283183858,0.1496089220015102,0.16020649035982332,0.44907274069640385,0.44179392774451065,0.45618385209132917,0.16417532535186796,0.15951412800485326,0.1688400338936379,0.05380275251845824,0.051188585279812286,0.056581765576765024,0.015550564662826914,0.014316734682997241,0.016915022199845416,0.005653470158846391,0.004947908707783694,0.006438844650186019
1988,"Women","World",NA,0.15457826051278759,0.14894461143947593,0.160639118195592,0.0762873856989675,0.07356378320677674,0.07902225131893284,0.1530836317439405,0.14823827157701241,0.15811195052218255,0.45000629589469276,0.4431996867104665,0.45655161639942543,0.16604442414961162,0.1616860960355998,0.17040049043279942,0.054543142759137755,0.05208494941900775,0.05707237907018503,0.015893836454005408,0.014745457979967538,0.01717894639169344,0.005850406485824333,0.005173585474947027,0.00660214886844058
1989,"Women","World",NA,0.15229042462353606,0.1468840762392904,0.1579156125733267,0.07762944925031784,0.07513101516013973,0.08020115957252713,0.1513237829629587,0.14676274265355774,0.15609733588252003,0.4507994316656555,0.4445659344983368,0.4568371317018275,0.16795690949753186,0.16390008188782879,0.17195709712741686,0.05532314033338784,0.05304684435655951,0.0576823517035225,0.016248498954627086,0.015168579766689574,0.017405274433481607,0.006057809962302918,0.005404089781013556,0.00677793407037954
1990,"Women","World",NA,0.15007361375839287,0.14490952460559786,0.15540626327478743,0.07905932785040447,0.07671021127222821,0.08148063311916964,0.1495445665472218,0.14525302399345774,0.15405463410904072,0.45137660649409506,0.4455576745171739,0.4571539529080322,0.1699458833498858,0.1661705213867014,0.17367519887515143,0.056162702157911346,0.054073246455104786,0.058337521627704156,0.016619400721821036,0.015598216519313758,0.01772643195551324,0.006277224970672085,0.0056423496047527414,0.006957691270798311
1991,"Women","World",NA,0.14790284256063072,0.14294103320839852,0.15299229317904708,0.08062115707492108,0.07840109830133841,0.08285183580362741,0.1477347141810067,0.14360204489842962,0.15195718261844018,0.4517135932315102,0.4462283646108501,0.45720941142737437,0.1720276909519313,0.16848188322864568,0.17547641061440694,0.05708720273334051,0.055116700673666995,0.059113523700667275,0.01701864015111614,0.016054875638448905,0.018081441807295148,0.00651531419046444,0.00589927641868278,0.007166955550752461
1992,"Women","World",NA,0.1458402229517013,0.1410943662511661,0.15070437708459813,0.08224054300549674,0.08013301444748384,0.08432715019357148,0.1459342571107216,0.1419467239394497,0.1499340358692375,0.45186520786422996,0.44660049496898435,0.45719234886464455,0.17411976706785035,0.17072957014996898,0.17733054068034765,0.058044433481454355,0.05613510030311427,0.05998917176677488,0.017428172550947287,0.01650952202386719,0.0184498014705837,0.006767936973095121,0.006173735256290338,0.007390096700767759
1993,"Women","World",NA,0.14394995688821488,0.13936378218447312,0.1486068052494089,0.08384594709886387,0.08184263215872656,0.08582296251264536,0.1442069148587517,0.14031190685083808,0.14804821802613494,0.4518377123732853,0.4467825525875045,0.45699708908302866,0.17615946678088426,0.17287820420068484,0.1792890506189731,0.058988909721686716,0.05713706733815742,0.06083498486396337,0.017831199636745478,0.0169424042031663,0.018796998374424174,0.007025837740431656,0.006440803041100653,0.007633944499220156
1994,"Women","World",NA,0.14221295730004888,0.13777326819487742,0.14673436904379675,0.08556198069345422,0.0836025669200712,0.08748558502360551,0.1425242314322883,0.13880393731327054,0.14621675155332062,0.451478516447849,0.44657023751653285,0.4564657034116587,0.17822231212635958,0.17504093272232202,0.18127697650571892,0.060002269752404705,0.05820247869144184,0.061789735713479524,0.018257646242602153,0.017391449808064903,0.019171613724410203,0.007302064698447375,0.0067213784960029185,0.007893342072145699
1995,"Women","World",NA,0.1405823606902958,0.13621093101538906,0.14490889815506874,0.08740456835174859,0.08548749641758159,0.08925921900803628,0.14087045826967348,0.13723528222115217,0.14443897602021422,0.4508117401724077,0.44603242932020365,0.4556915972171493,0.1803308705158745,0.1772218898077416,0.18334800198731138,0.06108882786825394,0.05936940655831094,0.06280129616058343,0.018715492874744912,0.017865048824980963,0.019604808220073915,0.00760024760874973,0.007040136428034668,0.008165533541868317
