iso,paese,uomini,donne,media
ASM,American Samoa,71.6,82.2,76.9
TON,Tonga,65.2,82.8,74
COK,Cook Islands,71.8,75.2,73.5
NRU,Nauru,72.7,73.2,73
TKL,Tokelau,68.1,75.8,71.9
NIU,Niue,64.4,71.5,67.9
TUV,Tuvalu,58.8,74,66.4
WSM,Samoa,53.4,78.1,65.7
PYF,French Polynesia,48.5,51.9,50.2
FSM,Federated States of Micronesia,40.7,58.7,49.7
BHS,Bahamas,39.9,57.8,48.8
KNA,Saint Kitts and Nevis,38.1,56.6,47.3
KIR,Kiribati,38.3,54.7,46.5
QAT,Qatar,39.3,51.7,45.5
EGY,Egypt,31.8,59,45.4
BLZ,Belize,34.3,54.7,44.5
MHL,Marshall Islands,33.3,53.8,43.6
PRI,Puerto Rico,36.8,49.1,43
SAU,Saudi Arabia,37.3,48.5,42.9
KWT,Kuwait,37.2,48.4,42.8
PLW,Palau,37.1,47.1,42.1
USA,United States of America,40.3,43.1,41.7
CHL,Chile,35.1,47.2,41.2
IRQ,Iraq,32.3,49,40.6
FJI,Fiji,29.8,50.3,40.1
BRB,Barbados,28.7,51.1,39.9
PAN,Panama,31.3,46.2,38.8
PSE,Palestine,29.2,47.4,38.3
ARG,Argentina,37.1,39.4,38.3
MEX,Mexico,33.5,42.6,38
BRN,Brunei Darussalam,33.6,41.7,37.7
BHR,Bahrain,31.6,43,37.3
JOR,Jordan,30.2,43.5,36.9
GEO,Georgia,35.2,37.7,36.5
SYC,Seychelles,25.6,46.3,36
VCT,Saint Vincent and the Grenadines,20.2,51.4,35.8
JAM,Jamaica,20,51.6,35.8
URY,Uruguay,32.8,38.8,35.8
NIC,Nicaragua,29.7,41.8,35.7
PRY,Paraguay,30.2,41.2,35.7
LCA,Saint Lucia,21.7,48.9,35.3
BMU,Bermuda,25.2,44.6,34.9
ATG,Antigua and Barbuda,25.1,44.7,34.9
LBY,Libya,26.1,43.4,34.7
NZL,New Zealand,33,36.3,34.7
ARE,United Arab Emirates,28.2,39.8,34
SYR,Syrian Arab Republic,25.9,41.6,33.7
CRI,Costa Rica,26.3,40.7,33.5
OMN,Oman,26.2,40.8,33.5
ROU,Romania,35.7,31.2,33.5
DMA,Dominica,19.3,47.5,33.4
HND,Honduras,24.7,40.6,32.7
GRD,Grenada,19.9,45,32.5
HUN,Hungary,35.7,28.9,32.3
