CNTR_CODE,NUTS_NAME,anno,quota_long
SI,Slovenija,2025,4.6
SK,Slovensko,2025,6.2
AT,Österreich,2025,7.7
BE,Belgique/België,2025,8.5
BG,България ,2025,0.3
CH,Schweiz/Suisse/Svizzera,2025,6.8
CY,Κύπρος ,2025,9
CZ,Česko,2025,6.6
DE,Deutschland,2025,4.9
DK,Danmark,2025,4.3
EE,Eesti,2025,2
EL,Ελλάδα ,2025,11.6
ES,España,2025,6
FI,Suomi/Finland,2025,5.2
FR,France,2025,9.4
HR,Hrvatska,2025,2.8
HU,Magyarország,2025,2.2
IE,Éire/Ireland,2025,7.5
IS,Ísland,2024,13.1
IT,Italia,2025,6.9
LT,Lietuva,2025,1
LU,Luxembourg,2025,5.8
LV,Latvija,2025,0.9
MT,Malta,2025,5.5
NL,Nederland,2025,5
NO,Norge,2025,4.9
PL,Polska,2025,6.7
PT,Portugal,2025,8.9
RO,România,2025,1.3
SE,Sverige,2025,6.5
