id,nome,fascia,pop,media_min,mediana_min,pop_totale
ITF4,Puglia,0-5 min,972730,9.82,8.31,3746317
ITF4,Puglia,5-10 min,1249813,9.82,8.31,3746317
ITF4,Puglia,10-15 min,923492,9.82,8.31,3746317
ITF4,Puglia,15-20 min,407959,9.82,8.31,3746317
ITF4,Puglia,20-25 min,95600,9.82,8.31,3746317
ITF4,Puglia,25-30 min,30415,9.82,8.31,3746317
ITF4,Puglia,30-35 min,24074,9.82,8.31,3746317
ITF4,Puglia,35-40 min,9019,9.82,8.31,3746317
ITF4,Puglia,40-45 min,5285,9.82,8.31,3746317
ITF4,Puglia,45-50 min,4372,9.82,8.31,3746317
ITF4,Puglia,50-55 min,4765,9.82,8.31,3746317
ITF4,Puglia,55-60 min,8449,9.82,8.31,3746317
ITF4,Puglia,60+ min,10346,9.82,8.31,3746317
ITF5,Basilicata,0-5 min,62768,16.34,16.08,521170
ITF5,Basilicata,5-10 min,105931,16.34,16.08,521170
ITF5,Basilicata,10-15 min,82179,16.34,16.08,521170
ITF5,Basilicata,15-20 min,72395,16.34,16.08,521170
ITF5,Basilicata,20-25 min,101648,16.34,16.08,521170
ITF5,Basilicata,25-30 min,49361,16.34,16.08,521170
ITF5,Basilicata,30-35 min,29189,16.34,16.08,521170
ITF5,Basilicata,35-40 min,12689,16.34,16.08,521170
ITF5,Basilicata,40-45 min,3689,16.34,16.08,521170
ITF5,Basilicata,45-50 min,1035,16.34,16.08,521170
ITF5,Basilicata,50-55 min,198,16.34,16.08,521170
ITF5,Basilicata,55-60 min,51,16.34,16.08,521170
ITF5,Basilicata,60+ min,37,16.34,16.08,521170
ITF6,Calabria,0-5 min,288780,15.06,12.96,1670264
ITF6,Calabria,5-10 min,360510,15.06,12.96,1670264
ITF6,Calabria,10-15 min,311000,15.06,12.96,1670264
ITF6,Calabria,15-20 min,241780,15.06,12.96,1670264
ITF6,Calabria,20-25 min,180689,15.06,12.96,1670264
ITF6,Calabria,25-30 min,128952,15.06,12.96,1670264
ITF6,Calabria,30-35 min,79848,15.06,12.96,1670264
ITF6,Calabria,35-40 min,39064,15.06,12.96,1670264
ITF6,Calabria,40-45 min,20831,15.06,12.96,1670264
ITF6,Calabria,45-50 min,12074,15.06,12.96,1670264
ITF6,Calabria,50-55 min,3410,15.06,12.96,1670264
ITF6,Calabria,55-60 min,1445,15.06,12.96,1670264
