id,nome,media_min,mediana_min,pop_totale,0-5 min,5-10 min,10-15 min,15-20 min,20-25 min,25-30 min,30-35 min,35-40 min,40-45 min,45-50 min,50-55 min,55-60 min,60+ min
ITF4,Puglia,9.82,8.31,3746317,972730,1249813,923492,407959,95600,30415,24074,9019,5285,4372,4765,8449,10346
ITF5,Basilicata,16.34,16.08,521170,62768,105931,82179,72395,101648,49361,29189,12689,3689,1035,198,51,37
ITF6,Calabria,15.06,12.96,1670264,288780,360510,311000,241780,180689,128952,79848,39064,20831,12074,3410,1445,1881
ITG1,Sicilia,11.16,8.05,4479768,1273272,1400548,669447,456423,322997,171564,94021,46979,27623,8609,2087,700,5499
ITF1,Abruzzo,12.79,11.38,1207490,181752,331740,312050,194074,98354,40641,20765,15134,6815,4952,895,268,52
ITF2,Molise,15.12,12.18,274850,31836,85210,41943,34770,29416,18703,19525,11145,2149,149,3,1,0
ITH3,Veneto,10.53,10.06,4939446,645627,1801892,1679832,633364,110739,35631,18172,9440,2780,1360,441,115,52
ITH4,Friuli-Venezia Giulia,11.1,9.97,1199552,240971,361241,299662,182200,80776,17484,7923,4314,2912,1631,400,22,16
ITH5,Emilia-Romagna,9.97,8.46,4490663,1073486,1565481,1000498,571445,173167,58438,20744,12547,7207,3963,2373,733,582
ITI4,Lazio,9.71,7.5,5703982,1567469,2113754,970195,570537,277048,125707,46336,20216,8690,1696,554,123,1658
ITG2,Sardegna,14.46,11.94,1507775,309238,349953,220731,223368,160439,96054,87036,31462,13593,9539,4847,1067,450
ITH1,Provincia Autonoma di Bolzano/Bozen,14.21,11.2,510806,90801,142513,84251,59277,55333,32840,20607,13111,7164,3688,966,187,67
ITH2,Provincia Autonoma di Trento,14.35,12.08,539855,70154,146468,110480,76544,64725,33045,19140,10536,4395,2443,1531,360,34
ITC3,Liguria,11.77,9.54,1357780,204160,509588,328325,141051,90006,34539,21957,12845,7171,2972,1782,1104,2280
ITC4,Lombardia,8.72,7.78,10138852,2178116,4681801,2417281,604559,162171,43994,26495,11817,7509,2995,1747,336,32
ITI1,Toscana,11.67,10.02,3557651,513844,1263080,861552,484799,253522,97791,49297,22288,7280,2105,741,143,1209
ITI2,Umbria,11.42,10.41,898378,149096,275209,246094,129912,64491,24985,6395,1520,560,84,20,10,3
ITI3,Marche,12.5,11.72,1405416,217182,376799,331919,292678,103202,49169,19382,9449,3898,1333,384,20,0
ITF3,Campania,8.65,6.8,5524940,1619802,2423804,788814,350660,189889,86356,34261,17048,10675,2954,613,56,9
ITC1,Piemonte,9.6,7.72,4315463,1101571,1629139,814479,462209,205797,63733,21689,7978,4059,2324,1430,662,393
ITC2,Valle d’Aosta/Vallée d’Aoste,19.26,15.79,120367,13060,34394,11460,9076,14961,13148,9126,5400,2841,2242,1171,1340,2147
