anno,eta,serie,tipo
1995,57.6,Età effettiva di uscita,effettiva
2000,59.1,Età effettiva di uscita,effettiva
2005,59.9,Età effettiva di uscita,effettiva
2010,60.8,Età effettiva di uscita,effettiva
2015,61.7,Età effettiva di uscita,effettiva
2019,63,Età effettiva di uscita,effettiva
2020,63.1,Età effettiva di uscita,effettiva
2022,63.5,Età effettiva di uscita,effettiva
2024,63.8,Età effettiva di uscita,effettiva
1995,60,Età legale per la vecchiaia,legale
2000,65,Età legale per la vecchiaia,legale
2010,65,Età legale per la vecchiaia,legale
2011,65,Età legale per la vecchiaia,legale
2012,66,Età legale per la vecchiaia,legale
2013,66.25,Età legale per la vecchiaia,legale
2016,66.58,Età legale per la vecchiaia,legale
2019,67,Età legale per la vecchiaia,legale
2024,67,Età legale per la vecchiaia,legale
