anno,val,serie
2025,15.3,Ragioneria generale dello Stato
2030,15.7,Ragioneria generale dello Stato
2035,16.6,Ragioneria generale dello Stato
2040,17.1,Ragioneria generale dello Stato
2045,16.8,Ragioneria generale dello Stato
2050,15.9,Ragioneria generale dello Stato
2055,14.9,Ragioneria generale dello Stato
2060,14.1,Ragioneria generale dello Stato
2065,13.8,Ragioneria generale dello Stato
2070,14,Ragioneria generale dello Stato
2025,15.4,Commissione UE
2030,15.7,Commissione UE
2035,16.3,Commissione UE
2040,17.3,Commissione UE
2045,17,Commissione UE
2050,16.6,Commissione UE
2055,16.2,Commissione UE
2060,15.8,Commissione UE
2065,15.5,Commissione UE
2070,15.2,Commissione UE
