anno,aliq
1960,14.41
1961,14.41
1962,16.42
1963,19.1
1964,18.8
1965,18.58
1966,18.56
1967,18.1
1968,19.67
1969,20.56
1970,20.56
1971,18.91
1972,19.01
1973,19.01
1974,19.95
1975,20.77
1976,23.31
1977,23.31
1978,23.31
1979,23.31
1980,23.9
1981,24.01
1982,24.17
1983,24.51
1984,24.51
1985,24.51
1986,24.51
1987,24.51
1988,24.51
1989,25.92
1990,25.92
1991,26.09
1992,26.49
1993,26.97
1994,26.97
1995,27.16
1996,32.7
1997,32.7
1998,32.7
1999,32.7
2000,32.7
2001,32.7
2002,32.7
2003,32.7
2004,32.7
2005,32.7
2006,32.7
2007,33
2008,33
2009,33
2010,33
2011,33
2012,33
2013,33
2014,33
2015,33
2016,33
2017,33
2018,33
2019,33
2020,33
2021,33
2022,33
2023,33
2024,33
2025,33
