"regione","n_alternanze","n_presidenti_CDX","n_presidenti_CSX","categoria"
"Abruzzo",5,4,3,"Alta alternanza"
"Basilicata",1,2,5,"Media alternanza"
"Calabria",4,7,2,"Alta alternanza"
"Campania",3,2,5,"Media alternanza"
"Emilia-Romagna",0,0,7,"Solo centrosinistra"
"Friuli-Venezia Giulia",3,3,2,"Media alternanza"
"Lazio",5,3,4,"Alta alternanza"
"Liguria",3,5,3,"Media alternanza"
"Lombardia",0,7,0,"Solo centrodestra"
"Marche",1,2,5,"Media alternanza"
"Molise",3,5,3,"Media alternanza"
"Piemonte",4,5,2,"Alta alternanza"
"Puglia",1,2,5,"Media alternanza"
"Sardegna",5,3,3,"Alta alternanza"
"Sicilia",2,5,1,"Media alternanza"
"Toscana",0,0,7,"Solo centrosinistra"
"Umbria",2,1,6,"Media alternanza"
"Veneto",0,7,0,"Solo centrodestra"
