"regione","nuts2","nome_cognome","genere","partito","coalizione","data_inizio","data_fine","data_inizio_arrotondata","data_fine_nuova","mese","anno","popolazione"
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-06-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-07-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-08-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-09-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-10-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-11-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1995-12-01",1995,1254352
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-01-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-02-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-03-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-04-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-05-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-06-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-07-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-08-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-09-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-10-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-11-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1996-12-01",1996,1255514
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1997-01-01",1997,1257426
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1997-02-01",1997,1257426
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1997-03-01",1997,1257426
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1997-04-01",1997,1257426
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1997-05-01",1997,1257426
"Abruzzo","ITF1","Antonio Falconio","M","Partito Popolare Italiano","CSX","1995-06-08","2000-05-09","1995-06-01","2000-05-01","1997-06-01",1997,1257426
