regione,nome_cognome,genere,partito,coalizione,data_inizio,data_fine
Abruzzo,Antonio Falconio,M,Partito Popolare Italiano,CSX,1995-06-08,2000-05-09
Abruzzo,Giovanni Pace,M,Alleanza Nazionale,CDX,2000-05-09,2005-04-22
Abruzzo,Ottaviano Del Turco,M,Socialisti Democratici Italiani,CSX,2005-04-22,2008-07-17
Abruzzo,Giovanni Chiodi,M,Il Popolo della Libertà,CDX,2009-01-03,2014-06-13
Abruzzo,Luciano D'Alfonso,M,Partito Democratico,CSX,2014-06-13,2018-08-10
Abruzzo,Marco Marsilio,M,Fratelli d'Italia,CDX,2019-02-23,2024-04-10
Abruzzo,Marco Marsilio,M,Fratelli d'Italia,CDX,2024-04-10,
Basilicata,Angelo Raffaele Dinardo,M,Partito Popolare Italiano,CSX,1995-06-15,2000-05-08
Basilicata,Filippo Bubbico,M,Democratici di Sinistra,CSX,2000-05-08,2005-05-06
Basilicata,Vito De Filippo,M,La Margherita,CSX,2005-05-06,2010-04-21
Basilicata,Vito De Filippo,M,Partito Democratico,CSX,2010-04-21,2013-04-24
Basilicata,Marcello Pittella,M,Partito Democratico,CSX,2013-12-18,2018-07-06
Basilicata,Vito Bardi,M,Forza Italia,CDX,2019-04-16,2024-05-24
Basilicata,Vito Bardi,M,Forza Italia,CDX,2024-05-24,
Calabria,Giuseppe Nisticò,M,Forza italia,CDX,1995-04-23,1998-08-10
Calabria,Giovambattista Caligiuri,M,Forza italia,CDX,1998-08-11,2000-05-04
Calabria,Giuseppe Chiaravalloti,M,Forza Italia,CDX,2000-05-05,2005-04-20
Calabria,Agazio Loiero,M,La Margherita/Partito Democratico,CSX,2005-04-20,2010-04-10
Calabria,Giuseppe Scopelliti,M,Il Popolo della Libertà/Nuovo Centrodestra,CDX,2010-04-10,2014-04-29
Calabria,Mario Oliverio,M,Partito Democratico,CSX,2014-12-09,2020-02-15
Calabria,Jole Santelli,F,Forza Italia,CDX,2020-02-15,2020-10-15
Calabria,Roberto Occhiuto,M,Forza Italia,CDX,2021-10-29,2025-10-06
Calabria,Roberto Occhiuto,M,Forza Italia,CDX,2025-10-07,
Campania,Antonio Rastrelli,M,Alleanza Nazionale,CDX,1995-04-23,2000-05-17
