"mese","n_regioni_CDX","n_regioni_CSX","popolazione_CDX","popolazione_CSX","totale_regioni","totale_popolazione","perc_regioni_CDX","perc_regioni_CSX","perc_popolazione_CDX","perc_popolazione_CSX"
"1995-05-01",3,3,11812635,5126444,6,16939079,50,50,69.7359933205341,30.2640066794659
"1995-06-01",4,6,16073803,11527264,10,27601067,40,60,58.2361652902766,41.7638347097234
"1995-07-01",6,9,29349850,18738109,15,48087959,40,60,61.0336778901346,38.9663221098654
"1995-08-01",6,9,29349850,18738109,15,48087959,40,60,61.0336778901346,38.9663221098654
"1995-09-01",6,9,29349850,18738109,15,48087959,40,60,61.0336778901346,38.9663221098654
"1995-10-01",6,9,29349850,18738109,15,48087959,40,60,61.0336778901346,38.9663221098654
"1995-11-01",6,9,29349850,18738109,15,48087959,40,60,61.0336778901346,38.9663221098654
"1995-12-01",6,9,29349850,18738109,15,48087959,40,60,61.0336778901346,38.9663221098654
"1996-01-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-02-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-03-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-04-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-05-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-06-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-07-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-08-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-09-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-10-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-11-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1996-12-01",6,9,29364225,18713287,15,48077512,40,60,61.0768398331428,38.9231601668572
"1997-01-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-02-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-03-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-04-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-05-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-06-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-07-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-08-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-09-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-10-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-11-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1997-12-01",6,9,29399401,18695143,15,48094544,40,60,61.1283496107168,38.8716503892832
"1998-01-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
"1998-02-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
"1998-03-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
"1998-04-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
"1998-05-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
"1998-06-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
"1998-07-01",6,9,29430750,18675311,15,48106061,40,60,61.1788813887714,38.8211186112286
