"regione","totale_mesi","n_mesi_CDX","n_mesi_CSX","n_presidenti_CDX","n_presidenti_CSX","perc_mesi_CDX","perc_mesi_CSX"
"Abruzzo",367,207,160,3,3,56.4032697547684,43.5967302452316
"Basilicata",366,80,286,1,4,21.8579234972678,78.1420765027322
"Calabria",368,246,122,6,2,66.8478260869565,33.1521739130435
"Campania",368,123,245,2,3,33.4239130434783,66.5760869565217
"Emilia-Romagna",368,0,368,0,4,0,100
"Friuli-Venezia Giulia",271,152,119,2,2,56.0885608856088,43.9114391143911
"Lazio",366,127,239,3,3,34.6994535519126,65.3005464480874
"Liguria",367,186,181,4,2,50.6811989100817,49.3188010899183
"Lombardia",366,366,0,3,0,100,0
"Marche",366,63,303,1,3,17.2131147540984,82.7868852459016
"Molise",368,228,140,3,2,61.9565217391304,38.0434782608696
"Piemonte",367,248,119,3,2,67.574931880109,32.425068119891
"Puglia",368,120,248,2,3,32.6086956521739,67.3913043478261
"Sardegna",318,180,138,3,3,56.6037735849057,43.3962264150943
"Sicilia",293,232,61,4,1,79.1808873720137,20.8191126279863
"Toscana",367,0,367,0,4,0,100
"Umbria",368,61,307,1,4,16.5760869565217,83.4239130434783
"Veneto",366,366,0,3,0,100,0
