entity,code,year,rtfpna
France,FRA,1954,0.40464967
France,FRA,1955,0.42219514
France,FRA,1956,0.445688
France,FRA,1957,0.47021785
France,FRA,1958,0.48353174
France,FRA,1959,0.49584812
France,FRA,1960,0.52863455
France,FRA,1961,0.5474055
France,FRA,1962,0.5679569
France,FRA,1963,0.5905835
France,FRA,1964,0.6069239
France,FRA,1965,0.62197787
France,FRA,1966,0.6354853
France,FRA,1967,0.6556905
France,FRA,1968,0.6731094
France,FRA,1969,0.7110494
France,FRA,1970,0.7322356
France,FRA,1971,0.7464758
France,FRA,1972,0.7685897
France,FRA,1973,0.7924752
France,FRA,1974,0.8107987
France,FRA,1975,0.7949639
France,FRA,1976,0.79730636
France,FRA,1977,0.8143799
France,FRA,1978,0.8457025
France,FRA,1979,0.8566495
France,FRA,1980,0.8555025
France,FRA,1981,0.85870147
France,FRA,1982,0.8902352
France,FRA,1983,0.895324
France,FRA,1984,0.9037613
France,FRA,1985,0.91857177
France,FRA,1986,0.9247596
France,FRA,1987,0.92349297
France,FRA,1988,0.94120616
France,FRA,1989,0.9615634
France,FRA,1990,0.96612257
France,FRA,1991,0.9656182
France,FRA,1992,0.9728426
France,FRA,1993,0.96934813
France,FRA,1994,0.98033357
France,FRA,1995,0.99500406
France,FRA,1996,0.99684495
France,FRA,1997,1.0073618
France,FRA,1998,1.022051
France,FRA,1999,1.0285717
France,FRA,2000,1.0480064
France,FRA,2001,1.0512881
France,FRA,2002,1.061369
France,FRA,2003,1.057183
France,FRA,2004,1.0626407
France,FRA,2005,1.0642499
France,FRA,2006,1.0785427
France,FRA,2007,1.0708028
France,FRA,2008,1.0539725
France,FRA,2009,1.027373
France,FRA,2010,1.0335081
France,FRA,2011,1.039964
France,FRA,2012,1.031195
France,FRA,2013,1.0345254
France,FRA,2014,1.0354038
France,FRA,2015,1.0352886
France,FRA,2016,1.0282587
France,FRA,2017,1.0380622
France,FRA,2018,1.033772
France,FRA,2019,1.032905
France,FRA,2020,0.99669427
France,FRA,2021,1
France,FRA,2022,0.98786205
France,FRA,2023,0.9819992
Germany,DEU,1954,0.3964862
Germany,DEU,1955,0.4210403
Germany,DEU,1956,0.4381093
Germany,DEU,1957,0.4507851
Germany,DEU,1958,0.4614977
Germany,DEU,1959,0.48570603
Germany,DEU,1960,0.51196116
Germany,DEU,1961,0.52098215
Germany,DEU,1962,0.5343301
Germany,DEU,1963,0.5385132
Germany,DEU,1964,0.5518788
Germany,DEU,1965,0.5677491
Germany,DEU,1966,0.57145065
Germany,DEU,1967,0.57488626
Germany,DEU,1968,0.5933562
Germany,DEU,1969,0.61990273
Germany,DEU,1970,0.6317424
Germany,DEU,1971,0.64187074
Germany,DEU,1972,0.6571025
Germany,DEU,1973,0.6763403
Germany,DEU,1974,0.68159693
Germany,DEU,1975,0.68368244
Germany,DEU,1976,0.7024203
Germany,DEU,1977,0.7165788
Germany,DEU,1978,0.72435874
Germany,DEU,1979,0.7347187
Germany,DEU,1980,0.7292825
Germany,DEU,1981,0.7263135
Germany,DEU,1982,0.71983314
Germany,DEU,1983,0.72765654
Germany,DEU,1984,0.73865694
Germany,DEU,1985,0.7473992
Germany,DEU,1986,0.7532862
Germany,DEU,1987,0.7555202
Germany,DEU,1988,0.7694763
Germany,DEU,1989,0.7885583
Germany,DEU,1990,0.82394266
Germany,DEU,1991,0.87448984
Germany,DEU,1992,0.882075
Germany,DEU,1993,0.88192
Germany,DEU,1994,0.8966909
Germany,DEU,1995,0.899681
Germany,DEU,1996,0.9035632
Germany,DEU,1997,0.91311693
