anno,Spagna,Regno Unito,Stati Uniti,Francia,Italia,Germania
1960,100,100,100,100,100,100
1961,109.21,99.81,100.95,103.55,104.57,101.76
1962,116.87,100.32,103.16,107.44,108.82,104.37
1963,124.25,102.11,104.69,111.72,112.66,105.19
1964,128.28,103.73,106.29,114.81,113.25,107.8
1965,132.32,103.43,108.06,117.66,118.13,110.9
1966,136.44,104.43,109.75,120.21,122.99,111.62
1967,136.72,105.31,109.26,124.03,126.57,112.29
1968,142.29,110.53,110.75,127.33,131.8,115.9
1969,150.16,107.38,110.05,134.51,136.47,121.08
1970,150.11,108.9,109.54,138.51,147.78,123.4
1971,152.26,112.76,111.35,141.21,146.82,125.37
1972,158.69,114.21,112.82,145.39,147.8,128.35
1973,163.36,117.59,114.15,149.91,152.13,132.11
1974,165.79,112.93,110.95,153.38,155.18,133.13
1975,163.54,111.03,110.97,150.38,148.55,133.54
1976,165.96,113.2,113.06,150.82,154.09,137.2
1977,168.34,113.71,113.67,154.05,155.42,139.97
1978,172.32,116.01,114.22,159.98,156.61,141.49
1979,174.67,117.7,113.26,162.05,160.65,143.51
1980,178.96,115.37,111.16,161.83,159.61,142.45
1981,180.65,116.84,111.76,162.44,156.51,141.87
1982,182.21,119.4,109.49,168.4,153.06,140.6
1983,184.86,123.6,111.56,169.37,151.51,142.13
1984,190.97,122.49,113.9,170.96,153.75,144.28
1985,194.01,124.24,114.77,173.76,154.33,145.99
1986,194.43,125.72,115.91,174.93,154.26,147.14
1987,195.63,128.3,115.95,174.69,154.8,147.57
1988,196.71,129.61,117.03,178.04,156.23,150.3
1989,197.36,127.41,117.6,181.9,157.75,154.03
1990,194.99,125.4,118.08,182.76,156.59,160.94
1991,193.11,124.78,117.54,182.66,154.61,170.81
1992,193.42,125.22,120.28,184.03,153.57,172.29
1993,192.71,127.12,120.3,183.37,152.77,172.26
1994,194.92,128.51,120.97,185.45,155.07,175.15
1995,194.3,128.28,120.83,188.22,156.96,175.73
1996,193.65,128.1,122.11,188.57,155.96,176.49
1997,192.13,130.76,123.4,190.56,156.35,178.36
1998,190.25,131.92,124.89,193.34,154.85,178.9
1999,188.29,132.77,126.85,194.57,153.75,179.64
2000,188.03,135.63,128.31,198.25,155.83,181.57
2001,186.84,136.1,128.47,198.87,154.93,183.36
2002,185.86,136.73,130.13,200.78,151.82,182.73
2003,184.61,138.77,132.37,199.98,148.95,182.22
2004,183.28,139.53,134.53,201.02,148.36,182.77
2005,182.43,140.37,135.76,201.32,146.92,183.94
2006,181.73,141.08,135.52,204.02,145.65,187.02
2007,181.4,141.94,135.37,202.56,144.33,188.83
2008,178.67,139.42,134.72,199.38,141.27,187.71
2009,176.4,134.18,134.97,194.34,135.2,179.41
2010,177.04,135.38,137.23,195.51,136.38,183.51
2011,176.49,135.77,136.91,196.73,136.27,187.62
2012,175.01,135.16,137.11,195.07,133.15,187.97
2013,174.06,135.03,137.44,195.7,132.16,187.95
2014,174.09,135.83,137.74,195.86,131.73,189.53
2015,176.27,136.13,138.44,195.84,131.67,190.28
2016,176.97,136.06,138.39,194.51,131.28,192.31
2017,177.72,137.1,139.11,196.37,131.65,195.08
2018,177.18,136.89,139.81,195.56,131.01,194.81
2019,176.61,136.38,140.7,195.39,130.55,195.01
2020,167.28,130.29,141.98,188.54,126.62,192.46
2021,169.01,133.94,145.91,189.17,129.08,195.33
2022,173.28,135.35,143.58,186.87,130.14,195.65
2023,175.09,133.75,144.89,185.76,127.39,194.19
