paese,data,indice_1991_100
Germania,1991-06-01,100
Germania,1991-07-01,99.42
Germania,1991-08-01,98.86
Germania,1991-09-01,98.38
Germania,1991-10-01,98.3
Germania,1991-11-01,98.57
Germania,1991-12-01,98.2
Germania,1992-01-01,98.63
Germania,1992-02-01,99.4
Germania,1992-03-01,99.83
Germania,1992-04-01,100
Germania,1992-05-01,99.79
Germania,1992-06-01,99.46
Germania,1992-07-01,98.51
Germania,1992-08-01,97.53
Germania,1992-09-01,96.81
Germania,1992-10-01,96.08
Germania,1992-11-01,95.3
Germania,1992-12-01,94.39
Germania,1993-01-01,93.81
Germania,1993-02-01,92.83
Germania,1993-03-01,91.98
Germania,1993-04-01,91.03
Germania,1993-05-01,90.28
Germania,1993-06-01,89.77
Germania,1993-07-01,88.96
Germania,1993-08-01,89.02
Germania,1993-09-01,89.02
Germania,1993-10-01,89.14
Germania,1993-11-01,89.25
Germania,1993-12-01,89.54
Germania,1994-01-01,90.04
Germania,1994-02-01,90.16
Germania,1994-03-01,90.26
Germania,1994-04-01,90.59
Germania,1994-05-01,90.91
Germania,1994-06-01,91.15
Germania,1994-07-01,91.46
Germania,1994-08-01,91.53
Germania,1994-09-01,91.9
Germania,1994-10-01,92.36
Germania,1994-11-01,92.83
Germania,1994-12-01,93.29
Germania,1995-01-01,93.49
Germania,1995-02-01,93.91
Germania,1995-03-01,94.01
Germania,1995-04-01,93.89
Germania,1995-05-01,93.93
Germania,1995-06-01,93.78
Germania,1995-07-01,93.85
Germania,1995-08-01,93.56
Germania,1995-09-01,93.64
Germania,1995-10-01,93.25
Germania,1995-11-01,92.85
Germania,1995-12-01,92.69
Germania,1996-01-01,92.58
Germania,1996-02-01,92.62
Germania,1996-03-01,92.44
Germania,1996-04-01,92.54
Germania,1996-05-01,92.73
Germania,1996-06-01,92.81
Germania,1996-07-01,92.77
Germania,1996-08-01,93.02
Germania,1996-09-01,93.27
Germania,1996-10-01,93.43
Germania,1996-11-01,93.6
Germania,1996-12-01,93.81
Germania,1997-01-01,94.05
Germania,1997-02-01,94.1
Germania,1997-03-01,94.28
Germania,1997-04-01,94.57
Germania,1997-05-01,94.57
Germania,1997-06-01,94.99
Germania,1997-07-01,95.69
Germania,1997-08-01,95.82
Germania,1997-09-01,95.9
Germania,1997-10-01,96.29
Germania,1997-11-01,96.87
Germania,1997-12-01,97.16
Germania,1998-01-01,97.37
Germania,1998-02-01,98.05
Germania,1998-03-01,98.8
Germania,1998-04-01,99.23
Germania,1998-05-01,99.65
Germania,1998-06-01,99.75
Germania,1998-07-01,100.17
Germania,1998-08-01,100.29
Germania,1998-09-01,100.04
Germania,1998-10-01,99.96
Germania,1998-11-01,99.61
Germania,1998-12-01,99.44
Germania,1999-01-01,99.15
Germania,1999-02-01,98.86
Germania,1999-03-01,98.86
Germania,1999-04-01,98.92
Germania,1999-05-01,99.25
Germania,1999-06-01,99.54
Germania,1999-07-01,99.67
Germania,1999-08-01,100.27
Germania,1999-09-01,100.64
Germania,1999-10-01,101.08
Germania,1999-11-01,101.45
Germania,1999-12-01,101.89
Germania,2000-01-01,102.05
Germania,2000-02-01,102.42
Germania,2000-03-01,102.88
Germania,2000-04-01,103.38
Germania,2000-05-01,104.29
Germania,2000-06-01,104.64
Germania,2000-07-01,105.57
Germania,2000-08-01,106.24
Germania,2000-09-01,106.94
Germania,2000-10-01,107.33
Germania,2000-11-01,107.4
Germania,2000-12-01,108.06
Germania,2001-01-01,108.22
Germania,2001-02-01,108.49
Germania,2001-03-01,108.51
Germania,2001-04-01,108.37
Germania,2001-05-01,108.31
Germania,2001-06-01,108.14
Germania,2001-07-01,107.58
Germania,2001-08-01,107.29
Germania,2001-09-01,106.98
Germania,2001-10-01,106.57
Germania,2001-11-01,105.82
Germania,2001-12-01,105.28
Germania,2002-01-01,105.16
Germania,2002-02-01,104.6
Germania,2002-03-01,104.39
Germania,2002-04-01,104.56
Germania,2002-05-01,104.74
Germania,2002-06-01,105.1
Germania,2002-07-01,105.22
Germania,2002-08-01,105.68
