"week_number","date","Cipro","Grecia","Turchia","Spagna","Portogallo","Italia","Serbia","Croazia","Francia","Slovenia","Romania","Ungheria","Austria","Slovacchia","Cechia","Germania","Belgio","Polonia","Paesi Bassi","Irlanda","Danimarca","Lituania","Lettonia","Finlandia","Norvegia","Islanda","UE-27"
1,2024-12-30,6.60181808926905,2.40202994169906,0.887576356685458,7.59539282250945,3.65722989892228,10.2781816514951,4.35236775625938,8.85724814123999,12.3950485559886,6.06199628073709,1.04710444632102,4.20392369021516,16.8600894305093,11.4084069689602,6.58575307391645,7.00853674713908,7.63960390298847,2.35061574708872,17.0825318452006,6.84858724964014,6.22575052857995,1.64771325706882,1.58167427496834,7.20298961309101,5.08026056399956,4.66771327310022,7.91046905398907
2,2025-01-06,2.17521070925568,0.857559943938411,0.948023625468799,2.47423858703687,1.5812782948645,2.41006799629797,3.32927658701833,3.45145686957019,4.03583062006645,2.34909543985288,0.505956205559919,0.792740501914571,5.33856212575334,3.640855010674,1.7250475097062,3.83446480703126,1.88511984761401,1.22682523676757,10.7572222143527,2.12391354726015,3.56910851254331,1.05354950378384,1.31424760375455,3.34606308554153,2.61265913042132,3.10912235906361,3.10655548102325
3,2025-01-13,1.48386034902783,0.705639757806046,0.914896081840896,2.17677688353202,1.39428819659431,1.83930549146005,2.12372896004391,3.25511743726331,3.67289110011643,2.38404654289656,0.350969158784071,0.910298573974683,4.27784319903997,2.43298778862115,1.76809392099732,3.11850950054434,1.8036282809195,1.43213053310025,3.90575784318848,1.81661897828,3.7059395898594,0.811593730270827,1.23586139624764,3.30583879555393,2.44619846482434,3.03550748110932,2.52597491619525
4,2025-01-20,1.44995922927875,0.750805486371565,1.66209654980605,2.02248220748561,1.58845912498997,1.84103160214871,2.20153406220665,2.70935956191457,4.05276441752788,2.27497276235815,0.43029568147638,0.78250831783952,4.04987037399637,1.91736438598618,1.69650422364561,3.26801639767472,1.91263281317864,1.40244297735711,3.80023174412479,1.89365466375971,3.60715577500482,0.948951787136489,1.50668594849853,3.19875306536908,2.52640651940287,2.89230039612723,2.58381438687754
5,2025-01-27,1.63913305256789,0.77677381352541,1.47525319590661,1.83016336127677,1.52406883409035,1.89963222706118,1.90750864255599,2.69154316142967,3.83356218035048,2.56435564395735,0.292886421457468,0.608534225697636,4.02173421356883,2.23817049734147,1.61431182409272,3.22144765217638,1.8291061203428,1.3887581787315,3.6034533763112,1.87030473022443,3.6573083784849,1.05064004538822,1.57039733690572,3.32463036105529,2.38665845687091,2.17427261534382,2.4972237145217
6,2025-02-03,1.41490242016517,0.780686629157863,0.884431148637761,1.80165690968062,1.53324252179711,1.64604434032771,2.10535687838332,2.18472464675456,4.62043083811208,2.78768325588929,0.320501092993671,0.761665046177321,5.08735448075711,2.22880196586628,2.33567105474476,3.36098529070163,2.55044881088217,1.51004008290293,3.63148368486641,1.866841117786,3.47615776176807,0.944241771317784,1.63898870119449,3.21880517276149,2.67975260810665,2.43069774743692,2.66422684727233
7,2025-02-10,1.82696571857939,0.794120854448648,0.821599644692677,1.8570785554958,1.4994477379442,1.70038160045853,1.79696282621969,2.73930528589771,6.70660970827064,2.82975799831498,0.487686406883078,0.719007130139788,4.86318827190736,2.59415973286188,2.04771284981506,3.54032590465123,1.82989361480068,1.26439392482005,3.7189426176326,1.86460224327853,6.63271322719282,1.36554103562088,1.6278263327095,3.64525787152593,2.73260003421145,2.95706493199402,2.96292205540773
8,2025-02-17,1.10342120698524,0.535206638504892,0.620907579965754,1.88578743478237,1.45395139837568,1.65229132669899,1.61328778342849,2.49098347229117,7.47605917278788,3.43938003770649,0.354103500202062,0.671518054846867,4.96179954569847,3.25657897700128,2.18861753738044,3.48134044427686,2.46366024872717,1.37433175887943,4.280555207048,2.25720052288648,4.45257847580381,0.948475162385452,1.31441634421894,5.56899917833705,3.8986258631373,2.59718941874602,3.07933973696137
9,2025-02-24,1.37062551692404,0.638813612823561,0.593597417106895,1.78742807103278,1.53367869873192,1.54306505655131,1.48420928051026,2.4642846254206,6.08039992274487,3.19732980544427,0.41259930946655,0.758892289112953,3.64306348865362,3.21140545887553,1.86317303667855,3.39530688576018,2.64362375785468,1.16152350848541,5.38692305189776,2.01462217913505,3.55050249762822,1.1033076564599,1.25091759120611,4.95863343607201,3.08369903111226,2.23887544511681,2.84386125349625
10,2025-03-03,1.1950625333658,0.592327665070439,0.525781229307921,1.90027991489277,1.43672989650375,1.51094344089982,1.37999797150081,2.287922217279,5.09531383291254,1.9934297485048,0.325847391042364,0.621783777279254,4.04060977637594,2.32450784969773,1.91449550585961,3.3581252489445,2.25152111270471,1.06166145400471,5.64630286199167,1.75973632226403,3.46570733330357,0.892864037006254,1.40832380263835,4.86642553673059,2.72965472602645,2.31947205619883,2.66048446221615
