"week_number","date","Cipro","Grecia","Turchia","Spagna","Portogallo","Italia","Serbia","Croazia","Francia","Slovenia","Romania","Ungheria","Austria","Slovacchia","Cechia","Germania","Belgio","Polonia","Paesi Bassi","Irlanda","Danimarca","Lituania","Lettonia","Finlandia","Norvegia","Islanda","UE-27"
1,2024-12-30,6.6,2.4,0.9,7.6,3.7,10.3,4.4,8.9,12.4,6.1,1,4.2,16.9,11.4,6.6,7,7.6,2.4,17.1,6.8,6.2,1.6,1.6,7.2,5.1,4.7,7.9
2,2025-01-06,2.2,0.9,0.9,2.5,1.6,2.4,3.3,3.5,4,2.3,0.5,0.8,5.3,3.6,1.7,3.8,1.9,1.2,10.8,2.1,3.6,1.1,1.3,3.3,2.6,3.1,3.1
3,2025-01-13,1.5,0.7,0.9,2.2,1.4,1.8,2.1,3.3,3.7,2.4,0.4,0.9,4.3,2.4,1.8,3.1,1.8,1.4,3.9,1.8,3.7,0.8,1.2,3.3,2.4,3,2.5
4,2025-01-20,1.4,0.8,1.7,2,1.6,1.8,2.2,2.7,4.1,2.3,0.4,0.8,4,1.9,1.7,3.3,1.9,1.4,3.8,1.9,3.6,0.9,1.5,3.2,2.5,2.9,2.6
5,2025-01-27,1.6,0.8,1.5,1.8,1.5,1.9,1.9,2.7,3.8,2.6,0.3,0.6,4,2.2,1.6,3.2,1.8,1.4,3.6,1.9,3.7,1.1,1.6,3.3,2.4,2.2,2.5
6,2025-02-03,1.4,0.8,0.9,1.8,1.5,1.6,2.1,2.2,4.6,2.8,0.3,0.8,5.1,2.2,2.3,3.4,2.6,1.5,3.6,1.9,3.5,0.9,1.6,3.2,2.7,2.4,2.7
7,2025-02-10,1.8,0.8,0.8,1.9,1.5,1.7,1.8,2.7,6.7,2.8,0.5,0.7,4.9,2.6,2,3.5,1.8,1.3,3.7,1.9,6.6,1.4,1.6,3.6,2.7,3,3
8,2025-02-17,1.1,0.5,0.6,1.9,1.5,1.7,1.6,2.5,7.5,3.4,0.4,0.7,5,3.3,2.2,3.5,2.5,1.4,4.3,2.3,4.5,0.9,1.3,5.6,3.9,2.6,3.1
9,2025-02-24,1.4,0.6,0.6,1.8,1.5,1.5,1.5,2.5,6.1,3.2,0.4,0.8,3.6,3.2,1.9,3.4,2.6,1.2,5.4,2,3.6,1.1,1.3,5,3.1,2.2,2.8
10,2025-03-03,1.2,0.6,0.5,1.9,1.4,1.5,1.4,2.3,5.1,2,0.3,0.6,4,2.3,1.9,3.4,2.3,1.1,5.6,1.8,3.5,0.9,1.4,4.9,2.7,2.3,2.7
11,2025-03-10,1,0.5,0.6,1.9,1.5,1.7,1.4,2.4,4.1,2.4,0.4,0.7,4,1.8,1.6,3.2,2.1,1,4.1,2,3.6,1,1.5,3.9,2.5,2.5,2.5
