"obsTime","Y6-13","Y14-17","Y18-19","Y20-24","Y25-34","Y35-44","Y45-54","Y55-59","Y60-64","Y65-74","Y_GE75"
"2001",5.3,15.5,18,20.1,18.4,17.2,16.1,14.5,11.6,13,23.9
"2002",5.1,14.3,20.1,22.8,18.8,17.2,15.9,14.4,13,12.6,22.6
"2003",6.8,13.9,18.5,22,19,16.6,14.5,12.7,11.2,11.1,19.9
"2005",8,15.9,21.7,21.5,21.1,16.8,14.8,13.3,11.9,12,23.1
"2006",7.4,17.9,22.9,23.5,21,18.4,17.5,13.1,13.6,12.5,22.9
"2007",8.4,17.8,24.5,25.8,24.1,18.6,18.3,15.2,13.7,12.9,23
"2008",10.7,19.4,26,27.7,24.9,20.4,18.4,16.7,15.2,13.6,23
"2009",9.5,19.6,25.1,26.6,25.8,19.6,18.1,17,15.3,13.4,23.1
"2010",9.6,21.5,26.7,29.2,25.1,19.4,18.5,16.5,14.3,14,22.2
"2011",10,20.4,28,28.9,26,21.6,19.6,18.6,16,13.9,21.9
"2012",9.9,22.3,32.4,34.2,27.1,22.1,20.6,19.9,16.6,14.1,23
"2013",11.6,22.3,29.1,34,29.1,22,20.1,19,15.7,14.7,23.4
"2014",11.2,21.9,28.6,30.2,26.7,22.4,20.6,18,15.5,14.8,23.8
"2015",11.6,23.9,30.3,34.2,28,22.4,20.3,19.6,18.2,14.3,22.9
"2016",13.8,24.8,32.7,33.3,31.6,25.1,21.5,21.6,17.4,14.8,22.3
"2017",14.9,27.3,35.9,36.1,33.8,26.3,23.2,20.7,19.1,15.7,23.8
"2018",16,27.9,38.8,40.8,35.4,28.6,23.9,22,20.7,17.8,24.7
"2019",17,29.6,39.8,42.5,38.3,28,26.2,24.2,20.7,19.8,25.5
"2020",19.3,32.8,44.8,45.2,39.8,31,28.4,25.4,24.3,21,26.8
"2021",22.7,38.9,46.7,47.7,44.8,36,30.5,29.2,28.2,24,28.4
"2022",23,34.5,47.2,47.3,41.8,35.1,29.8,28.7,25,22.3,27.1
"2023",18.7,39.7,49,49.9,45.1,35.4,29.6,28.9,25.1,22.5,27
