"","testata","date","diffusione","media"
"1","Corriere",2012-11-01,313775,NA
"2","Repubblica",2012-11-01,344315,NA
"3","Corriere",2012-12-01,313495,NA
"4","Repubblica",2012-12-01,334133,NA
"5","Corriere",2013-01-01,351663,NA
"6","Repubblica",2013-01-01,358432,NA
"7","Corriere",2013-02-01,363283,NA
"8","Repubblica",2013-02-01,372640,NA
"9","Corriere",2013-03-01,364244,NA
"10","Repubblica",2013-03-01,372752,NA
"11","Corriere",2013-11-01,338807,340877.833333333
"12","Repubblica",2013-11-01,333623,352649.166666667
"13","Corriere",2013-12-01,337711,344867.166666667
"14","Repubblica",2013-12-01,337000,351430
"15","Corriere",2014-01-01,328335,347340.5
"16","Repubblica",2014-01-01,325009,349909.333333333
"17","Corriere",2014-02-01,331328,343951.333333333
"18","Repubblica",2014-02-01,325788,344468.666666667
"19","Corriere",2014-03-01,325477,337650.333333333
"20","Repubblica",2014-03-01,320241,335735.5
"21","Corriere",2014-11-01,302049,327284.5
"22","Repubblica",2014-11-01,312579,325706.666666667
"23","Corriere",2014-12-01,301667,321094.5
"24","Repubblica",2014-12-01,313769,322397.666666667
"25","Corriere",2015-01-01,296278,314189
"26","Repubblica",2015-01-01,311982,318228
"27","Corriere",2015-02-01,292004,308133.833333333
"28","Repubblica",2015-02-01,302814,314528.833333333
"29","Corriere",2015-03-01,285986,300576.833333333
"30","Repubblica",2015-03-01,296216,309600.166666667
"31","Corriere",2015-04-01,282106,293348.333333333
"32","Repubblica",2015-04-01,292813,305028.833333333
"33","Corriere",2015-05-01,285142,290530.5
"34","Repubblica",2015-05-01,291599,301532.166666667
"35","Corriere",2015-06-01,288012,288254.666666667
"36","Repubblica",2015-06-01,298316,298956.666666667
"37","Corriere",2015-07-01,296988,288373
"38","Repubblica",2015-07-01,302614,297395.333333333
"39","Corriere",2015-08-01,301356,289931.666666667
"40","Repubblica",2015-08-01,310054,298602
"41","Corriere",2015-09-01,279431,288839.166666667
"42","Repubblica",2015-09-01,285826,296870.333333333
"43","Corriere",2015-10-01,274369,287549.666666667
"44","Repubblica",2015-10-01,279399,294634.666666667
"45","Corriere",2015-11-01,275164,285886.666666667
"46","Repubblica",2015-11-01,279363,292595.333333333
"47","Corriere",2015-12-01,266267,282262.5
"48","Repubblica",2015-12-01,273626,288480.333333333
"49","Corriere",2016-01-01,268754,277556.833333333
"50","Repubblica",2016-01-01,275113,283896.833333333
"51","Corriere",2016-02-01,266931,271819.333333333
"52","Repubblica",2016-02-01,270677,277334
"53","Corriere",2016-03-01,270380,270310.833333333
"54","Repubblica",2016-03-01,269454,274605.333333333
"55","Corriere",2016-04-01,263237,268455.5
"56","Repubblica",2016-04-01,264090,272053.833333333
"57","Corriere",2016-05-01,258458,265671.166666667
"58","Repubblica",2016-05-01,259352,268718.666666667
"59","Corriere",2016-06-01,270729,266414.833333333
"60","Repubblica",2016-06-01,274268,268825.666666667
"61","Corriere",2016-07-01,283738,268912.166666667
"62","Repubblica",2016-07-01,264792,267105.5
"63","Corriere",2016-08-01,278401,270823.833333333
"64","Repubblica",2016-08-01,260666,265437
"65","Corriere",2016-09-01,264618,269863.5
"66","Repubblica",2016-09-01,252686,262642.333333333
"67","Corriere",2016-10-01,260362,269384.333333333
"68","Repubblica",2016-10-01,231210,257162.333333333
"69","Corriere",2016-11-01,254776,268770.666666667
"70","Repubblica",2016-11-01,227944,251927.666666667
"71","Corriere",2016-12-01,258795,266781.666666667
"72","Repubblica",2016-12-01,231504,244800.333333333
"73","Corriere",2017-01-01,250970,261320.333333333
"74","Repubblica",2017-01-01,219071,237180.166666667
"75","Corriere",2017-02-01,251298,256803.166666667
"76","Repubblica",2017-02-01,220799,230535.666666667
"77","Corriere",2017-03-01,248798,254166.5
"78","Repubblica",2017-03-01,211225,223625.5
"79","Corriere",2017-04-01,249065,252283.666666667
"80","Repubblica",2017-04-01,206642,219530.833333333
"81","Corriere",2017-05-01,246281,250867.833333333
"82","Repubblica",2017-05-01,204334,215595.833333333
"83","Corriere",2017-06-01,252540,249825.333333333
"84","Repubblica",2017-06-01,213129,212533.333333333
"85","Corriere",2017-07-01,261727,251618.166666667
"86","Repubblica",2017-07-01,212184,211385.5
"87","Corriere",2017-08-01,265409,253970
"88","Repubblica",2017-08-01,216351,210644.166666667
"89","Corriere",2017-09-01,249280,254050.333333333
"90","Repubblica",2017-09-01,202748,209231.333333333
"91","Corriere",2017-10-01,241710,252824.5
"92","Repubblica",2017-10-01,192523,206878.166666667
"93","Corriere",2017-11-01,240524,251865
"94","Repubblica",2017-11-01,194124,205176.5
"95","Corriere",2017-12-01,240725,249895.833333333
"96","Repubblica",2017-12-01,189551,201246.833333333
"97","Corriere",2018-01-01,239211,246143.166666667
"98","Repubblica",2018-01-01,182304,196266.833333333
"99","Corriere",2018-02-01,239871,241886.833333333
"100","Repubblica",2018-02-01,184733,190997.166666667
"101","Corriere",2018-03-01,245090,241188.5
"102","Repubblica",2018-03-01,196689,189987.333333333
"103","Corriere",2018-04-01,241163,241097.333333333
"104","Repubblica",2018-04-01,191049,189741.666666667
"105","Corriere",2018-05-01,241214,241212.333333333
"106","Repubblica",2018-05-01,193310,189606
"107","Corriere",2018-06-01,254654,243533.833333333
"108","Repubblica",2018-06-01,202467,191758.666666667
"109","Corriere",2018-07-01,255687,246279.833333333
"110","Repubblica",2018-07-01,202073,195053.5
"111","Corriere",2018-08-01,262973,250130.166666667
"112","Repubblica",2018-08-01,210946,199422.333333333
"113","Corriere",2018-09-01,247339,250505
"114","Repubblica",2018-09-01,196766,199435.166666667
"115","Corriere",2018-10-01,237486,249892.166666667
"116","Repubblica",2018-10-01,192495,199676.166666667
"117","Corriere",2018-11-01,234012,248691.833333333
"118","Repubblica",2018-11-01,192667,199569
"119","Corriere",2018-12-01,237229,245787.666666667
"120","Repubblica",2018-12-01,189982,197488.166666667
"121","Corriere",2019-01-01,234829,242311.333333333
"122","Repubblica",2019-01-01,186061,194819.5
"123","Corriere",2019-02-01,235128,237670.5
"124","Repubblica",2019-02-01,188175,191024.333333333
"125","Corriere",2019-03-01,236314,235833
"126","Repubblica",2019-03-01,190085,189910.833333333
"127","Corriere",2019-04-01,234862,235395.666666667
"128","Repubblica",2019-04-01,182823,188298.833333333
"129","Corriere",2019-05-01,233798,235360
"130","Repubblica",2019-05-01,189961,187847.833333333
"131","Corriere",2019-06-01,237847,235463
"132","Repubblica",2019-06-01,186558,187277.166666667
"133","Corriere",2019-07-01,242172,236686.833333333
"134","Repubblica",2019-07-01,190445,188007.833333333
"135","Corriere",2019-08-01,258646,240606.5
"136","Repubblica",2019-08-01,209768,191606.666666667
"137","Corriere",2019-09-01,238294,240936.5
"138","Repubblica",2019-09-01,192313,191978
"139","Corriere",2019-10-01,229201,239993
"140","Repubblica",2019-10-01,181036,191680.166666667
"141","Corriere",2019-11-01,229596,239292.666666667
"142","Repubblica",2019-11-01,179155,189879.166666667
"143","Corriere",2019-12-01,228766,237779.166666667
"144","Repubblica",2019-12-01,175150,187977.833333333
"145","Corriere",2020-01-01,231674,236029.5
"146","Repubblica",2020-01-01,179279,186116.833333333
"147","Corriere",2020-02-01,231817,231558
"148","Repubblica",2020-02-01,177788,180786.833333333
"149","Corriere",2020-03-01,234211,230877.5
"150","Repubblica",2020-03-01,175022,177905
"151","Corriere",2020-04-01,248112,234029.333333333
"152","Repubblica",2020-04-01,183433,178304.5
"153","Corriere",2020-05-01,251852,237738.666666667
"154","Repubblica",2020-05-01,178546,178203
"155","Corriere",2020-06-01,233741,238567.833333333
"156","Repubblica",2020-06-01,163650,176286.333333333
"157","Corriere",2020-07-01,243312,240507.5
"158","Repubblica",2020-07-01,169077,174586
"159","Corriere",2020-08-01,253715,244157.166666667
"160","Repubblica",2020-08-01,197624,177892
"161","Corriere",2020-09-01,234917,244274.833333333
"162","Repubblica",2020-09-01,181931,179043.5
"163","Corriere",2020-10-01,234071,241934.666666667
"164","Repubblica",2020-10-01,170748,176929.333333333
"165","Corriere",2020-11-01,235617,239228.833333333
"166","Repubblica",2020-11-01,170875,175650.833333333
"167","Corriere",2020-12-01,239034,240111
"168","Repubblica",2020-12-01,170195,176741.666666667
"169","Corriere",2021-01-01,239128,239413.666666667
"170","Repubblica",2021-01-01,165933,176217.666666667
"171","Corriere",2021-02-01,235864,236438.5
"172","Repubblica",2021-02-01,169168,171475
"173","Corriere",2021-03-01,233445,236193.166666667
"174","Repubblica",2021-03-01,164175,168515.666666667
"175","Corriere",2021-04-01,236229,236552.833333333
"176","Repubblica",2021-04-01,164246,167432
"177","Corriere",2021-05-01,230821,235753.5
"178","Repubblica",2021-05-01,158400,165352.833333333
"179","Corriere",2021-06-01,232606,234682.166666667
"180","Repubblica",2021-06-01,153869,162631.833333333
"181","Corriere",2021-07-01,242629,235265.666666667
"182","Repubblica",2021-07-01,161067,161820.833333333
"183","Corriere",2021-08-01,244655,236730.833333333
"184","Repubblica",2021-08-01,161620,160562.833333333
"185","Corriere",2021-09-01,233407,236724.5
"186","Repubblica",2021-09-01,152328,158588.333333333
"187","Corriere",2021-10-01,230413,235755.166666667
"188","Repubblica",2021-10-01,152209,156582.166666667
"189","Corriere",2021-11-01,226970,235113.333333333
"190","Repubblica",2021-11-01,145559,154442
"191","Corriere",2021-12-01,231723,234966.166666667
"192","Repubblica",2021-12-01,146082,153144.166666667
"193","Corriere",2022-01-01,233782,233491.666666667
"194","Repubblica",2022-01-01,144161,150326.5
"195","Corriere",2022-02-01,235698,231998.833333333
"196","Repubblica",2022-02-01,140290,146771.5
"197","Corriere",2022-03-01,237366,232658.666666667
"198","Repubblica",2022-03-01,133596,143649.5
"199","Corriere",2022-04-01,232798,233056.166666667
"200","Repubblica",2022-04-01,132428,140352.666666667
"201","Corriere",2022-05-01,229523,233481.666666667
"202","Repubblica",2022-05-01,126043,137100
"203","Corriere",2022-06-01,230939,233351
"204","Repubblica",2022-06-01,126857,133895.833333333
"205","Corriere",2022-07-01,240902,234537.666666667
"206","Repubblica",2022-07-01,135496,132451.666666667
"207","Corriere",2022-08-01,243501,235838.166666667
"208","Repubblica",2022-08-01,133538,131326.333333333
"209","Corriere",2022-09-01,240966,236438.166666667
"210","Repubblica",2022-09-01,132343,131117.5
"211","Corriere",2022-10-01,238337,237361.333333333
"212","Repubblica",2022-10-01,126001,130046.333333333
"213","Corriere",2022-11-01,230705,237558.333333333
"214","Repubblica",2022-11-01,122488,129453.833333333
"215","Corriere",2022-12-01,231390,237633.5
"216","Repubblica",2022-12-01,125828,129282.333333333
"217","Corriere",2023-01-01,228810,235618.166666667
"218","Repubblica",2023-01-01,119025,126537.166666667
"219","Corriere",2023-02-01,231423,233605.166666667
"220","Repubblica",2023-02-01,115539,123537.333333333
"221","Corriere",2023-03-01,225474,231023.166666667
"222","Repubblica",2023-03-01,114942,120637.166666667
"223","Corriere",2023-04-01,224350,228692
"224","Repubblica",2023-04-01,113013,118472.5
"225","Corriere",2023-05-01,221419,227144.333333333
"226","Repubblica",2023-05-01,111952,116716.5
"227","Corriere",2023-06-01,227450,226487.666666667
"228","Repubblica",2023-06-01,117725,115366
"229","Corriere",2023-07-01,229787,226650.5
"230","Repubblica",2023-07-01,113899,114511.666666667
"231","Corriere",2023-08-01,230788,226544.666666667
"232","Repubblica",2023-08-01,113846,114229.5
"233","Corriere",2023-09-01,226977,226795.166666667
"234","Repubblica",2023-09-01,114006,114073.5
"235","Corriere",2023-10-01,223537,226659.666666667
"236","Repubblica",2023-10-01,108322,113291.666666667
"237","Corriere",2023-11-01,218486,226170.833333333
"238","Repubblica",2023-11-01,105294,112182
"239","Corriere",2023-12-01,217006,224430.166666667
"240","Repubblica",2023-12-01,107435,110467
"241","Corriere",2024-01-01,209445,221039.833333333
"242","Repubblica",2024-01-01,104603,108917.666666667
"243","Corriere",2024-02-01,207516,217161.166666667
"244","Repubblica",2024-02-01,104917,107429.5
