CNTR_ID,paese,anno,quota_laureati
IE,Ireland,2025,66.8
LU,Luxembourg,2025,65
LT,Lithuania,2025,60.8
CY,Cyprus,2025,60
NO,Norway,2025,56.8
NL,Netherlands,2025,56.1
FR,France,2025,56
SE,Sweden,2025,53.6
BE,Belgium,2025,52.7
DK,Denmark,2025,52.5
ES,Spain,2025,52.5
CH,Switzerland,2025,50.6
MT,Malta,2025,47.7
PL,Poland,2025,45.2
LV,Latvia,2025,44.7
EE,Estonia,2025,44.3
AT,Austria,2025,43.7
EL,Greece,2025,42.8
SI,Slovenia,2025,42.8
PT,Portugal,2025,42.5
HR,Croatia,2025,42
BG,Bulgaria,2025,41.2
DE,Germany,2025,40.9
FI,Finland,2025,38.2
RS,Serbia,2025,37.1
SK,Slovakia,2025,36.3
CZ,Czechia,2025,36
MK,North Macedonia,2025,35.9
HU,Hungary,2025,32.6
IT,Italy,2025,31.1
BA,Bosnia and Herzegovina,2025,27.5
RO,Romania,2025,23
