DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,REFERENCE_PERIOD_CRIME,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_Y_KNOWN_OFFENDER_IDEN,NOTE_REFERENCE_PERIOD_CRIME,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2006,2821,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2007,3050,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2008,2558,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2009,1753,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2010,1382,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2011,1360,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2012,1229,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2013,1220,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2014,789,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2015,790,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2016,563,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2017,396,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2018,276,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2019,264,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2020,126,,,,,,,,,,,
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),A,IT,CRIMEN,BANKROB,9,YRDUR,2021,90,,,,,,,,,,,
