anno,tipologia,rapine
2006,In abitazione,2125
2007,In abitazione,2529
2008,In abitazione,2319
2009,In abitazione,1961
2010,In abitazione,2106
2011,In abitazione,2858
2012,In abitazione,3491
2013,In abitazione,3619
2014,In abitazione,3209
2015,In abitazione,3064
2016,In abitazione,2562
2017,In abitazione,2301
2018,In abitazione,2104
2019,In abitazione,1818
2020,In abitazione,1575
2021,In abitazione,1647
2022,In abitazione,1645
2023,In abitazione,1858
2024,In abitazione,1891
2006,In banca,2821
2007,In banca,3050
2008,In banca,2558
2009,In banca,1753
2010,In banca,1382
2011,In banca,1360
2012,In banca,1229
2013,In banca,1220
2014,In banca,789
2015,In banca,790
2016,In banca,563
2017,In banca,396
2018,In banca,276
2019,In banca,264
2020,In banca,126
2021,In banca,90
2022,In banca,131
2023,In banca,87
2024,In banca,63
2006,In esercizi commerciali,8075
2007,In esercizi commerciali,8149
2008,In esercizi commerciali,7764
2009,In esercizi commerciali,5921
2010,In esercizi commerciali,5872
2011,In esercizi commerciali,6260
2012,In esercizi commerciali,7090
2013,In esercizi commerciali,6865
2014,In esercizi commerciali,6176
2015,In esercizi commerciali,5337
2016,In esercizi commerciali,4848
2017,In esercizi commerciali,4517
2018,In esercizi commerciali,4197
2019,In esercizi commerciali,3691
2020,In esercizi commerciali,3046
2021,In esercizi commerciali,3172
2022,In esercizi commerciali,3594
2023,In esercizi commerciali,3820
2024,In esercizi commerciali,4151
2006,In pubblica via,26051
2007,In pubblica via,25909
2008,In pubblica via,23040
2009,In pubblica via,18351
2010,In pubblica via,16873
2011,In pubblica via,20657
2012,In pubblica via,21210
2013,In pubblica via,22311
2014,In pubblica via,20528
2015,In pubblica via,18466
2016,In pubblica via,18020
2017,In pubblica via,16910
2018,In pubblica via,16042
2019,In pubblica via,13307
2020,In pubblica via,11082
2021,In pubblica via,12862
2022,In pubblica via,15121
2023,In pubblica via,16561
2024,In pubblica via,16550
2006,In uffici postali,572
2007,In uffici postali,511
2008,In uffici postali,454
2009,In uffici postali,379
2010,In uffici postali,411
2011,In uffici postali,403
2012,In uffici postali,423
2013,In uffici postali,441
2014,In uffici postali,353
2015,In uffici postali,321
2016,In uffici postali,352
2017,In uffici postali,256
2018,In uffici postali,246
2019,In uffici postali,176
2020,In uffici postali,100
2021,In uffici postali,82
2022,In uffici postali,103
2023,In uffici postali,107
2024,In uffici postali,122
2006,Totale,50270
2007,Totale,51210
2008,Totale,45857
2009,Totale,35822
2010,Totale,33754
2011,Totale,40549
2012,Totale,42631
2013,Totale,43754
2014,Totale,39236
2015,Totale,35068
2016,Totale,32918
2017,Totale,30564
2018,Totale,28441
2019,Totale,24276
2020,Totale,20000
2021,Totale,22093
2022,Totale,25642
2023,Totale,28067
2024,Totale,28709
