"DATAELEZIONE";"CODTIPOELEZIONE";"REGIONE";"COLLEGIO";"COMUNE";"COGNOME";"NOME";"DATANASCITA";"LUOGONASCITA";"SESSO";"TOTVOTI";"CONTRASSEGNO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SAINT-VINCENT";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"695";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SAINT-VINCENT";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"163";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SAINT-VINCENT";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"41";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SAINT-VINCENT";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"55";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SAINT-VINCENT";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"614";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"121";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"254";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"592";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"356";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"33";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"54";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"SARRE";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"803";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"9";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"12";"VALLE D'AOSTA APERTA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"RINI";"EMILY MARINELLA";15/8/1982 00:00:00;"AOSTA";"F";"92";"LEGA PER SALVINI PREM.-FORZA IT.-NOI MODERATI-FRAT. D'ITALIA"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"GIRARDINI";"GIOVANNI";3/7/1965 00:00:00;"AOSTA";"M";"14";"LA RENAISSANCE VALDOTAINE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"IANNI";"DAVIDE";13/12/1991 00:00:00;"IVREA (TO)";"M";"2";"PARTITO COMUNISTA ITALIANO"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"DE ROSA";"LOREDANA";1/11/1961 00:00:00;"ROMA";"F";"4";"UNIONE POPOLARE CON DE MAGISTRIS"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"TORGNON";"MANES";"FRANCO";21/6/1963 00:00:00;"AOSTA";"M";"116";"VALLEE D?AOSTE ? AUTONOMIE PROGRES FEDERALISME"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"RONC";"LOREDANA AUGUSTA";21/8/1964 00:00:00;"AOSTA";"F";"2";"ITALIA SOVRANA E POPOLARE"
25/9/2022 00:00:00;"C";"VALLE D'AOSTA";" U01 (AOSTA)";"VALGRISENCHE";"GUICHARDAZ";"ERIKA";25/11/1976 00:00:00;"AOSTA";"F";"9";"VALLE D'AOSTA APERTA"
