cod_rip,desc_rip,cod_naz,desc_naz,ele_t,sz_tot,sz_perv,vot_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no,dt_agg,stato
01,EUROPA,220,ALBANIA,3063,2,2,1333,43.52,7,75,0,784,467,62.67,37.33,20260323210724,ok
01,EUROPA,221,ANDORRA,809,1,1,151,18.67,0,5,0,103,43,70.55,29.45,20260323172825,ok
01,EUROPA,222,AUSTRIA,39188,15,15,12833,32.75,84,609,0,3639,8501,29.98,70.02,20260323204428,ok
01,EUROPA,223,BELGIO,254590,96,96,43506,17.09,361,3571,14,15288,24272,38.65,61.35,20260323210650,ok
01,EUROPA,224,BULGARIA,2879,1,1,791,27.47,6,74,0,399,312,56.12,43.88,20260323164849,ok
01,EUROPA,225,REPUBBLICA CECA,6883,3,3,2457,35.7,9,110,0,904,1434,38.67,61.33,20260323180735,ok
01,EUROPA,226,STATO CITTA' DEL VATICANO,0,1,1,0,0,0,0,0,0,0,0,0,20260323203840,ok
01,EUROPA,227,DANIMARCA,15450,6,6,4629,29.96,18,229,0,922,3460,21.04,78.96,20260323220848,ok
01,EUROPA,228,FINLANDIA,4763,2,2,2051,43.06,4,94,0,519,1434,26.57,73.43,20260323203840,ok
01,EUROPA,229,FRANCIA,369455,143,139,0,0,0,0,0,40876,57642,41.49,58.51,20260323212214,ok
01,EUROPA,230,GERMANIA,720524,268,268,160838,22.32,1108,13238,50,67869,78573,46.35,53.65,20260323212616,ok
01,EUROPA,231,REGNO UNITO,410645,159,155,0,0,0,0,0,37793,59089,39.01,60.99,20260323222851,ok
01,EUROPA,232,GRECIA,11797,5,5,4030,34.16,38,264,0,1364,2364,36.59,63.41,20260323204806,ok
01,EUROPA,233,IRLANDA,25805,9,9,8915,34.55,37,446,0,2749,5683,32.6,67.4,20260323212838,ok
01,EUROPA,234,ISLANDA,678,1,1,165,24.34,0,10,0,19,136,12.26,87.74,20260323180542,ok
01,EUROPA,236,SERBIA,1946,2,2,544,27.95,3,29,0,281,231,54.88,45.12,20260323190748,ok
01,EUROPA,237,LIECHTENSTEIN,1363,2,2,426,31.25,5,42,0,240,139,63.32,36.68,20260323190703,ok
01,EUROPA,238,LUSSEMBURGO,29386,11,11,10779,36.68,127,719,0,3909,6024,39.35,60.65,20260323203633,ok
01,EUROPA,239,MALTA,10150,4,4,3378,33.28,18,178,0,1375,1807,43.21,56.79,20260323184821,ok
01,EUROPA,240,MONACO,6975,3,3,3430,49.18,18,226,0,2512,674,78.84,21.16,20260323201222,ok
01,EUROPA,241,NORVEGIA,8137,3,3,2690,33.06,10,155,0,664,1861,26.3,73.7,20260323193541,ok
01,EUROPA,242,PAESI BASSI,62364,25,25,20664,33.13,56,839,0,5316,14453,26.89,73.11,20260323213613,ok
01,EUROPA,243,POLONIA,8850,3,3,3100,35.03,15,137,0,1306,1642,44.3,55.7,20260323204546,ok
01,EUROPA,244,PORTOGALLO,23956,9,9,8690,36.27,43,469,3,3497,4678,42.78,57.22,20260323210414,ok
01,EUROPA,245,ROMANIA,9203,4,4,2321,25.22,9,236,0,1393,683,67.1,32.9,20260323184758,ok
01,EUROPA,246,SAN MARINO,12834,5,5,7914,61.66,40,457,0,3845,3572,51.84,48.16,20260323210611,ok
01,EUROPA,248,SPAGNA,264837,98,98,71523,27.01,432,3813,84,32376,34818,48.18,51.82,20260323210522,ok
01,EUROPA,249,SVEZIA,17086,7,7,5891,34.48,30,262,2,1405,4192,25.1,74.9,20260323205416,ok
01,EUROPA,250,SVIZZERA,543932,208,208,167162,30.73,1924,10703,6,75948,78581,49.15,50.85,20260323221308,ok
01,EUROPA,251,UNGHERIA,4375,2,2,1340,30.63,13,85,0,669,573,53.86,46.14,20260323201428,ok
01,EUROPA,252,FEDERAZIONE RUSSA,3280,2,2,359,10.95,0,16,0,160,183,46.65,53.35,20260323172242,ok
01,EUROPA,254,LITUANIA,660,1,1,256,38.79,1,8,0,90,157,36.44,63.56,20260323204431,ok
01,EUROPA,255,LETTONIA,514,1,1,212,41.25,0,6,0,92,114,44.66,55.34,20260323193446,ok
01,EUROPA,256,ESTONIA,892,1,1,339,38,2,10,0,124,203,37.92,62.08,20260323201720,ok
