cod_regione,desc_regione,ele_t,sz_tot,sz_perv,vot_t,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,n_comuni,perc_vot,perc_si,perc_no,perc_sz
01,PIEMONTE,3303313,4790,4790,2068122,4526,9376,14,955168,1099038,1180,0.62607509491229,0.464981603597692,0.535018396402308,1
02,VALLE D'AOSTA,97949,150,150,57391,222,318,0,27395,29456,74,0.585927370366211,0.481873669768342,0.518126330231658,1
03,LOMBARDIA,7573433,9258,9258,4828975,9550,16217,56,2572803,2230349,1501,0.637620349978669,0.535648882234,0.464351117766,1
04,TRENTINO-ALTO ADIGE,819907,1019,1019,430053,1604,1573,15,210916,215945,282,0.524514365653666,0.494109323643997,0.505890676356004,1
05,VENETO,3750551,4729,4729,2380676,5520,8055,7,1382701,984393,560,0.634753666861216,0.584134385875677,0.415865614124323,1
06,FRIULI-VENEZIA GIULIA,931761,1354,1354,574170,1326,2375,5,310743,259721,215,0.616220253906313,0.544719736915914,0.455280263084086,1
07,LIGURIA,1180907,1784,1784,734968,1475,2865,10,313935,416683,234,0.622375851781724,0.429684185169268,0.570315814830732,1
08,EMILIA-ROMAGNA,3365900,4525,4525,2244197,4968,7649,15,954053,1277512,330,0.666745001336938,0.427526422040138,0.572473577959862,1
09,TOSCANA,2797496,3923,3923,1853807,4051,6875,24,771094,1071763,273,0.662666541793089,0.418423133211096,0.581576866788904,1
10,UMBRIA,658041,997,997,428074,1002,1835,7,205479,219751,92,0.650527854647355,0.483218493521153,0.516781506478847,1
11,MARCHE,1157824,1570,1570,738337,2210,3106,2,339091,393928,225,0.637693639102316,0.462595103264718,0.537404896735283,1
12,LAZIO,4350049,5314,5314,2683814,4260,9727,32,1212443,1457352,378,0.616961785947699,0.454133369790564,0.545866630209436,1
13,ABRUZZO,1015499,1628,1628,614353,1938,3131,6,293838,315440,305,0.604976469696179,0.482272460190586,0.517727539809414,1
14,MOLISE,237348,393,393,128185,446,656,0,57566,69517,136,0.540071961845055,0.452979548798817,0.547020451201184,1
15,CAMPANIA,4450547,5824,5824,2241992,4862,9321,17,774742,1453050,550,0.503756504537532,0.347762268649856,0.652237731350144,1
16,PUGLIA,3171631,4032,4032,1650119,3824,7061,6,702639,936589,257,0.520274584275409,0.428640189162215,0.571359810837785,1
17,BASILICATA,432962,683,683,230593,809,1582,0,91205,136997,131,0.532594084469307,0.399667838143399,0.600332161856601,1
18,CALABRIA,1467969,2407,2407,710278,1868,3757,7,301133,403513,404,0.483850817013166,0.427353593151739,0.572646406848261,1
19,SICILIA,3860565,5306,5306,1780724,4287,9383,36,689506,1077512,391,0.461259945111661,0.390208815077153,0.609791184922847,1
20,SARDEGNA,1320821,1847,1846,640049,1041,1894,5,281766,412866,377,0.48458420936675,0.405633486507964,0.594366513492036,0.999458581483487
