classe,midpoint,fyft,totale,altri,pct_fyft,pct_altri
Fino a 5000,2500,0,2309118,2309118,0,13.023054196260315
5000-9999,7500,3834,1838351,1834517,0.02162314346363505,10.346380875711366
10000-14999,12500,17749,1970218,1952469,0.1001015058257847,11.011611188132516
15000-19999,17500,252942,2056366,1803424,1.4265522050022892,10.171021355702289
20000-24999,22500,1234326,2489782,1255456,6.961400150989775,7.080569953125041
25000-29999,27500,1697969,2337923,639954,9.576272113668477,3.6092376505287183
30000-34999,32500,1195974,1486142,290168,6.745101038283116,1.6365008587783139
35000-39999,37500,743158,887367,144209,4.191291614540453,0.813315570095813
40000-44999,42500,504507,587085,82578,2.845338351436653,0.4657266408294353
45000-49999,47500,360676,411743,51067,2.0341546405555646,0.28800966803793715
50000-59999,55000,465338,520834,55496,2.6244314901098087,0.3129885158210461
60000-79999,70000,415413,455631,40218,2.3428625184295844,0.22682305263966468
80000+,90000,352055,380442,28387,1.9855335868779438,0.1600981151544622
