bin_label,bin_ord,pct
5-6,1,0.42
6-7,2,1.68
7-8,3,4.3
8-9,4,7.45
9-10,5,9.68
10-11,6,10.37
11-12,7,9.8
12-13,8,8.54
13-14,9,7.11
14-15,10,5.82
15-16,11,4.76
16-17,12,3.91
17-18,13,3.25
18-19,14,2.74
19-20,15,2.33
20-21,16,1.99
21-22,17,1.72
22-23,18,1.5
23-24,19,1.31
24-25,20,1.15
25-26,21,1.01
26-27,22,0.87
27-28,23,0.75
28-29,24,0.63
29-30,25,0.52
30-31,26,0.41
31-32,27,0.32
32-33,28,0.24
33-34,29,0.18
34-35,30,0.14
35-36,31,0.1
36-37,32,0.08
37-38,33,0.08
38-39,34,0.08
39-40,35,0.08
40-41,36,0.1
41-42,37,0.12
42-43,38,0.14
43-44,39,0.16
44-45,40,0.18
45-46,41,0.2
46-47,42,0.22
47-48,43,0.23
48-49,44,0.25
49-50,45,0.25
50+,46,2.83
