CNTR_ID,NAME_ENGL,ratio,anno
AT,Austria,NA,NA
CZ,Czechia,41,2024
BE,Belgium,40.1,2022
BG,Bulgaria,39.2,2024
CH,Switzerland,NA,NA
DE,Germany,50,2026
DK,Denmark,NA,NA
EE,Estonia,40,2024
EL,Greece,50.4,2019
ES,Spain,50,2024
FI,Finland,NA,NA
FR,France,48.4,2024
HR,Croatia,46,2024
HU,Hungary,42.9,2024
IS,Iceland,NA,NA
IT,Italy,NA,NA
IE,Ireland,44.7,2020
NL,Netherlands,52.9,2024
MT,Malta,43.7,2026
PT,Portugal,56.5,2026
RO,Romania,47.7,2024
PL,Poland,52.9,2024
LT,Lithuania,44.4,2024
LU,Luxembourg,47.5,2025
LV,Latvia,44.1,2024
SE,Sweden,NA,NA
SI,Slovenia,52.3,2024
SK,Slovakia,42.8,2024
NO,Norway,NA,NA
