CNTR_ID,NAME_ENGL,ratio,anno
AT,Austria,NA,NA
CZ,Czechia,NA,NA
BE,Belgium,43.2,2022
BG,Bulgaria,57.2,2024
CH,Switzerland,NA,NA
DE,Germany,58.5,2026
DK,Denmark,NA,NA
EE,Estonia,NA,NA
EL,Greece,NA,NA
ES,Spain,56.2,2023
FI,Finland,NA,NA
FR,France,60,2024
HR,Croatia,NA,NA
HU,Hungary,49.3,2024
IS,Iceland,NA,NA
IT,Italy,NA,NA
IE,Ireland,NA,NA
NL,Netherlands,60,2024
MT,Malta,49.3,2026
PT,Portugal,73.5,2026
RO,Romania,NA,NA
PL,Poland,NA,NA
LT,Lithuania,49.7,2022
LU,Luxembourg,59.3,2025
LV,Latvia,NA,NA
UK,United Kingdom,NA,NA
SE,Sweden,NA,NA
SI,Slovenia,NA,NA
SK,Slovakia,51.9,2024
NO,Norway,NA,NA
