DATAFLOW,DATA_TYPE,FREQ,REFERENCE_PERIOD_CRIME,REF_AREA,TYPE_CRIME,Y_KNOWN_OFFENDER_IDEN,TIME_PERIOD,OBS_VALUE
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2006,12659
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2007,16716
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2008,12662
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2009,10921
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2010,9622
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2011,12980
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2012,13170
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2013,7388
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2014,6855
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2015,8934
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2016,8005
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2017,10310
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2018,4750
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2019,6533
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2020,6303
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2021,6997
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2022,7002
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2023,5687
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARSON,9,2024,5437
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARTTHEF,9,2006,1142
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARTTHEF,9,2007,1018
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARTTHEF,9,2008,846
IT1:73_67_DF_DCCV_DELITTIPS_1(1.0),CRIMEN,A,YRDUR,IT,ARTTHEF,9,2009,762
