anno,indicatore,valore,fonte_tavola
1932,delitti_contro_la_famiglia,10556,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1933,delitti_contro_la_famiglia,10498,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1934,delitti_contro_la_famiglia,11699,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1935,delitti_contro_la_famiglia,11345,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1936,delitti_contro_la_famiglia,11920,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1937,delitti_contro_la_famiglia,13346,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1938,delitti_contro_la_famiglia,11522,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1939,delitti_contro_la_famiglia,11873,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1940,delitti_contro_la_famiglia,10604,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1941,delitti_contro_la_famiglia,8011,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1942,delitti_contro_la_famiglia,9295,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1943,delitti_contro_la_famiglia,6617,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1944,delitti_contro_la_famiglia,8116,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1945,delitti_contro_la_famiglia,9571,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1946,delitti_contro_la_famiglia,14956,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1947,delitti_contro_la_famiglia,13399,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1948,delitti_contro_la_famiglia,14368,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1949,delitti_contro_la_famiglia,14188,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1950,delitti_contro_la_famiglia,14896,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1951,delitti_contro_la_famiglia,15103,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1952,delitti_contro_la_famiglia,15830,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1953,delitti_contro_la_famiglia,15468,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1954,delitti_contro_la_famiglia,20017,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1955,delitti_contro_la_famiglia,16158,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1956,delitti_contro_la_famiglia,15785,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1957,delitti_contro_la_famiglia,16604,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1958,delitti_contro_la_famiglia,16490,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1959,delitti_contro_la_famiglia,20043,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1960,delitti_contro_la_famiglia,18719,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1961,delitti_contro_la_famiglia,20342,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1962,delitti_contro_la_famiglia,19078,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
1963,delitti_contro_la_famiglia,19535,"Tavola 6.15 (ISTAT Serie storiche, 1880-2013)"
