DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1975-01-01,76.3,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1975-01-01,70.5,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1975-01-01,73.4,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1976-01-01,76.6,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1976-01-01,70.8,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1976-01-01,73.7,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1977-01-01,77.1,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1977-01-01,71.2,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1977-01-01,74.2,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1978-01-01,77.4,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1978-01-01,71.3,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1978-01-01,74.4,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1979-01-01,78.0,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1979-01-01,71.8,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1979-01-01,75.0,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1980-01-01,78.5,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1980-01-01,72.3,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1980-01-01,75.5,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1981-01-01,78.8,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1981-01-01,72.5,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,T,Y_LT1,ES,1981-01-01,75.7,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,F,Y_LT1,ES,1982-01-01,79.4,,
ESTAT:DEMO_MLEXPEC(1.0),04/06/26 23:00:00,A,YR,M,Y_LT1,ES,1982-01-01,73.1,,
