DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1960-01-01,50025500.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1961-01-01,50373900.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1962-01-01,50698800.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1963-01-01,51060100.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1964-01-01,51443900.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1965-01-01,51906800.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1966-01-01,52317900.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1967-01-01,52720100.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1968-01-01,53080900.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1969-01-01,53390600.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1970-01-01,53685300.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1971-01-01,53958400.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1972-01-01,54188579.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1973-01-01,54574111.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1974-01-01,54928700.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1975-01-01,55293036.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1976-01-01,55588966.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1977-01-01,55847553.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1978-01-01,56063269.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1979-01-01,56247017.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1980-01-01,56388480.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1981-01-01,56479285.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1982-01-01,56524064.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1983-01-01,56563031.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1984-01-01,56565117.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1985-01-01,56588319.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1986-01-01,56597823.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1987-01-01,56594487.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1988-01-01,56609375.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1989-01-01,56649201.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1990-01-01,56694360.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1991-01-01,56744119.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1992-01-01,56772923.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1993-01-01,56821250.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1994-01-01,56842392.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1995-01-01,56844408.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1996-01-01,56844197.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1997-01-01,56876364.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1998-01-01,56904379.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,1999-01-01,56909109.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2000-01-01,56923524.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2001-01-01,56960692.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2002-01-01,56993270.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2003-01-01,57186378.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2004-01-01,57611990.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2005-01-01,58044368.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2006-01-01,58288996.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2007-01-01,58510725.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2008-01-01,59001769.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2009-01-01,59420592.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2010-01-01,59690316.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2011-01-01,59948497.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2012-01-01,60105185.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2013-01-01,60277309.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2014-01-01,60345917.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2015-01-01,60295497.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2016-01-01,60163712.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2017-01-01,60066734.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2018-01-01,59937769.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2019-01-01,59816673.0,b,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2020-01-01,59641488.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2021-01-01,59236213.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2022-01-01,59030133.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2023-01-01,58997201.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2024-01-01,58971230.0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,A,NR,TOTAL,T,IT,2025-01-01,58943464.0,,
