DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,1995-01-01,45760.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,1995-01-01,5.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,1996-01-01,53443.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,1996-01-01,5.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,1997-01-01,58826.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,1997-01-01,5.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,1998-01-01,60915.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,1998-01-01,5.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,1999-01-01,64393.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,1999-01-01,5.5,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2000-01-01,71943.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2000-01-01,5.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2001-01-01,79689.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2001-01-01,6.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2002-01-01,84008.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2002-01-01,6.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2003-01-01,86930.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2003-01-01,6.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2004-01-01,95319.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2004-01-01,6.5,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2005-01-01,101690.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2005-01-01,6.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2006-01-01,106836.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2006-01-01,6.8,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2007-01-01,107648.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2007-01-01,6.6,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2008-01-01,114568.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2008-01-01,7.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2009-01-01,117133.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,IT,2009-01-01,7.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,EU27_2020,2010-01-01,795446.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,IT,2010-01-01,119119.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,PC_GDP,S13,GF07,TE,EU27_2020,2010-01-01,7.2,,
