DATAFLOW,LAST UPDATE,freq,mortalit,sex,icd10,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,DE,2011-01-01,163.45,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,ES,2011-01-01,128.2,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,EU27_2020,2011-01-01,177.96,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,FR,2011-01-01,147.19,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,IT,2011-01-01,124.8,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,UK,2011-01-01,159.22,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,DE,2011-01-01,94.48,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,ES,2011-01-01,74.24,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,EU27_2020,2011-01-01,103.39,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,FR,2011-01-01,67.64,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,IT,2011-01-01,75.43,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,UK,2011-01-01,94.39,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,DE,2012-01-01,160.8,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,ES,2012-01-01,125.74,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,EU27_2020,2012-01-01,175.02,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,FR,2012-01-01,142.78,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,IT,2012-01-01,122.12,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,UK,2012-01-01,156.35,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,DE,2012-01-01,92.0,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,ES,2012-01-01,72.53,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,EU27_2020,2012-01-01,101.73,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,FR,2012-01-01,66.06,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,IT,2012-01-01,75.07,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,UK,2012-01-01,92.47,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,DE,2013-01-01,162.24,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,ES,2013-01-01,123.32,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,EU27_2020,2013-01-01,171.01,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,FR,2013-01-01,140.08,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,IT,2013-01-01,116.43,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,UK,2013-01-01,154.73,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,DE,2013-01-01,91.54,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,ES,2013-01-01,70.49,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,EU27_2020,2013-01-01,98.65,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,FR,2013-01-01,65.08,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,IT,2013-01-01,71.4,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,UK,2013-01-01,90.08,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,DE,2014-01-01,155.92,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,ES,2014-01-01,120.14,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,EU27_2020,2014-01-01,165.82,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,FR,2014-01-01,135.44,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,IT,2014-01-01,112.86,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,UK,2014-01-01,152.31,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,DE,2014-01-01,87.42,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,ES,2014-01-01,68.46,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,EU27_2020,2014-01-01,94.83,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,FR,2014-01-01,62.9,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,IT,2014-01-01,69.02,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,TRT,T,TOTAL,RT,UK,2014-01-01,88.41,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,DE,2015-01-01,159.85,,
ESTAT:HLTH_CD_APR(1.0),17/03/26 23:00:00,A,PRVT,T,TOTAL,RT,ES,2015-01-01,119.41,,
