DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,ES,2004-01-01,62.6,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,EU27_2020,2004-01-01,63.7,e,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,FR,2004-01-01,64.3,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,IT,2004-01-01,71.0,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,DE,2004-01-01,81.9,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,ES,2004-01-01,83.7,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,EU27_2020,2004-01-01,81.5,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,FR,2004-01-01,83.8,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,IT,2004-01-01,83.7,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,UK,2004-01-01,81.1,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,HLY_0,ES,2004-01-01,62.6,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,HLY_0,EU27_2020,2004-01-01,62.0,e,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,HLY_0,FR,2004-01-01,61.5,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,HLY_0,IT,2004-01-01,68.8,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,LE_0,DE,2004-01-01,76.5,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,LE_0,ES,2004-01-01,77.0,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,LE_0,EU27_2020,2004-01-01,75.0,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,LE_0,FR,2004-01-01,76.7,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,LE_0,IT,2004-01-01,78.0,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,M,LE_0,UK,2004-01-01,76.8,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,HLY_0,ES,2004-01-01,62.7,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,HLY_0,EU27_2020,2004-01-01,62.9,e,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,HLY_0,FR,2004-01-01,62.9,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,HLY_0,IT,2004-01-01,69.9,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,LE_0,DE,2004-01-01,79.3,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,LE_0,ES,2004-01-01,80.4,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,LE_0,EU27_2020,2004-01-01,78.3,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,LE_0,FR,2004-01-01,80.3,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,LE_0,IT,2004-01-01,80.9,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,T,LE_0,UK,2004-01-01,79.0,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,DE,2005-01-01,54.8,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,ES,2005-01-01,63.5,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,EU27_2020,2005-01-01,61.6,e,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,FR,2005-01-01,64.6,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,IT,2005-01-01,67.8,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,HLY_0,UK,2005-01-01,65.5,,
ESTAT:HLTH_HLYE(1.0),15/06/26 23:00:00,A,YR,F,LE_0,DE,2005-01-01,82.0,,
