DATAFLOW,LAST UPDATE,freq,unit,facility,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,DE,2000-01-01,107.46,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,ES,2000-01-01,51.5,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,FR,2000-01-01,103.38,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,IT,2000-01-01,14.82,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,UK,2000-01-01,91.89,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,DE,2000-01-01,911.64,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,ES,2000-01-01,365.02,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,FR,2000-01-01,797.01,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,IT,2000-01-01,470.73,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,UK,2000-01-01,407.77,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_CUR,DE,2000-01-01,680.75,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_CUR,ES,2000-01-01,289.33,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_CUR,FR,2000-01-01,406.2,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_CUR,IT,2000-01-01,421.67,b,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_LT,DE,2000-01-01,0.0,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_LT,ES,2000-01-01,71.3,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_LT,FR,2000-01-01,138.93,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_LT,IT,2000-01-01,17.77,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,DE,2001-01-01,107.46,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,ES,2001-01-01,50.56,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,FR,2001-01-01,101.19,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,IT,2001-01-01,14.41,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDI_PSY,UK,2001-01-01,87.73,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,DE,2001-01-01,900.95,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,ES,2001-01-01,358.3,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,FR,2001-01-01,782.7,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,IT,2001-01-01,461.37,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT,UK,2001-01-01,403.66,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_CUR,DE,2001-01-01,671.14,,
ESTAT:HLTH_RS_BDS(1.0),02/07/21 11:00:00,A,P_HTHAB,HBEDT_CUR,ES,2001-01-01,284.06,,
