DATAFLOW,LAST UPDATE,freq,unit,facility,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,IT,2010-01-01,364.35,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITC1,2010-01-01,393.47,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITC2,2010-01-01,378.78,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITC3,2010-01-01,379.8,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITC4,2010-01-01,396.59,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITF1,2010-01-01,357.93,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITF2,2010-01-01,438.5,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITF3,2010-01-01,299.16,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITF4,2010-01-01,353.26,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITF5,2010-01-01,319.0,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITF6,2010-01-01,321.9,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITG1,2010-01-01,302.61,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITG2,2010-01-01,373.37,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITH1,2010-01-01,407.55,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITH2,2010-01-01,420.44,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITH3,2010-01-01,358.72,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITH4,2010-01-01,362.76,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITH5,2010-01-01,409.79,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITI1,2010-01-01,329.91,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITI2,2010-01-01,300.08,,
ESTAT:HLTH_RS_BDSRG(1.0),20/12/22 11:00:00,A,P_HTHAB,HBEDT,ITI3,2010-01-01,370.71,,
