DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2010-01-01,374.81,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2010-01-01,375.79,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2010-01-01,303.56,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,IT,2010-01-01,381.91,e,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,UK,2010-01-01,264.87,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,DE,2010-01-01,82.0,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2261,UK,2010-01-01,51.46,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,DE,2010-01-01,62.46,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,ES,2010-01-01,92.32,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC2262,UK,2010-01-01,64.75,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,DE,2011-01-01,387.7,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,ES,2011-01-01,383.52,,
ESTAT:HLTH_RS_PRS1(1.0),12/07/22 11:00:00,A,P_HTHAB,PRACT,OC221,FR,2011-01-01,305.7,b,
