DATAFLOW,LAST UPDATE,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2010-01-01,1226.98,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2010-01-01,874.28,b,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2011-01-01,1248.21,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2011-01-01,901.48,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2012-01-01,1253.33,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2012-01-01,941.21,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2013-01-01,1293.31,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2013-01-01,968.01,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2013-01-01,640.05,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2014-01-01,1317.57,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2014-01-01,995.07,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2014-01-01,642.64,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2015-01-01,1328.25,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2015-01-01,1026.19,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2015-01-01,639.84,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2016-01-01,1347.93,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2016-01-01,1055.37,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2016-01-01,684.0,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2017-01-01,1374.35,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2017-01-01,1081.64,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2017-01-01,700.75,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2018-01-01,1381.09,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2018-01-01,1111.04,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2018-01-01,705.56,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2019-01-01,1408.06,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2019-01-01,1141.26,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2019-01-01,697.93,e,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,DE,2020-01-01,1434.57,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,FR,2020-01-01,1169.19,,
ESTAT:HLTH_RS_PRSNS(1.0),12/07/22 11:00:00,A,P_HTHAB,PACT,OC222_322,IT,2020-01-01,690.73,e,
