DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2010-01-01,91.48,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2010-01-01,74.33,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2010-01-01,159.31,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2010-01-01,89.32,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2010-01-01,70.15,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2010-01-01,74.33,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2010-01-01,77.4,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2010-01-01,34.66,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2010-01-01,22.1,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2010-01-01,3.51,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2010-01-01,15.52,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2010-01-01,25.18,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2010-01-01,11.16,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2010-01-01,29.01,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2010-01-01,25.63,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2010-01-01,9.73,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2010-01-01,21.38,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2010-01-01,18.35,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2010-01-01,283.33,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,ES,2010-01-01,230.89,bd,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,FR,2010-01-01,167.96,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,IT,2010-01-01,292.59,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,DE,2010-01-01,22.35,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,ES,2010-01-01,22.94,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,FR,2010-01-01,16.28,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,DE,2010-01-01,0.0,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,ES,2010-01-01,17.08,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2011-01-01,93.74,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2011-01-01,74.28,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2011-01-01,142.31,b,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2011-01-01,90.7,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2011-01-01,70.88,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2011-01-01,74.28,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2011-01-01,98.4,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2011-01-01,77.57,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2011-01-01,35.99,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2011-01-01,21.98,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2011-01-01,5.58,b,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2011-01-01,16.01,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2011-01-01,25.75,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,FR,2011-01-01,11.18,b,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,IT,2011-01-01,29.43,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,DE,2011-01-01,26.4,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,ES,2011-01-01,10.07,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,FR,2011-01-01,21.92,b,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PSY,IT,2011-01-01,18.5,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,DE,2011-01-01,293.95,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,ES,2011-01-01,232.68,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,FR,2011-01-01,163.39,b,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SPEC,IT,2011-01-01,299.14,e,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,DE,2011-01-01,23.3,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,ES,2011-01-01,23.31,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_ANE,FR,2011-01-01,16.8,b,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,DE,2011-01-01,0.0,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,SURG_EME,ES,2011-01-01,17.31,d,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,DE,2012-01-01,93.74,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,ES,2012-01-01,74.96,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,FR,2012-01-01,141.93,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN,IT,2012-01-01,90.69,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,DE,2012-01-01,70.55,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,ES,2012-01-01,74.96,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,FR,2012-01-01,96.25,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,GEN_PRAC,IT,2012-01-01,76.31,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,DE,2012-01-01,36.57,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,ES,2012-01-01,22.4,de,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,FR,2012-01-01,5.83,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,MED_INT,IT,2012-01-01,41.9,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,DE,2012-01-01,16.22,,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,P_HTHAB,PAED,ES,2012-01-01,25.72,,
