DATAFLOW,LAST UPDATE,freq,unit,quantile,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TFAR,Y_GE16,T,DE,2010-01-01,0.5,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TFAR,Y_GE16,T,ES,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TFAR,Y_GE16,T,EU27_2020,2010-01-01,0.4,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TFAR,Y_GE16,T,FR,2010-01-01,0.2,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TFAR,Y_GE16,T,IT,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TFAR,Y_GE16,T,UK,2010-01-01,0.2,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP,Y_GE16,T,DE,2010-01-01,3.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP,Y_GE16,T,ES,2010-01-01,0.6,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP,Y_GE16,T,EU27_2020,2010-01-01,4.7,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP,Y_GE16,T,FR,2010-01-01,5.0,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP,Y_GE16,T,IT,2010-01-01,7.0,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP,Y_GE16,T,UK,2010-01-01,0.0,n,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP_TFAR_WLIST,Y_GE16,T,DE,2010-01-01,4.3,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP_TFAR_WLIST,Y_GE16,T,ES,2010-01-01,0.8,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP_TFAR_WLIST,Y_GE16,T,EU27_2020,2010-01-01,6.2,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP_TFAR_WLIST,Y_GE16,T,FR,2010-01-01,5.4,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP_TFAR_WLIST,Y_GE16,T,IT,2010-01-01,8.6,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU1,TXP_TFAR_WLIST,Y_GE16,T,UK,2010-01-01,1.7,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TFAR,Y_GE16,T,DE,2010-01-01,0.0,n,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TFAR,Y_GE16,T,ES,2010-01-01,0.0,n,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TFAR,Y_GE16,T,EU27_2020,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TFAR,Y_GE16,T,FR,2010-01-01,0.0,n,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TFAR,Y_GE16,T,IT,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TFAR,Y_GE16,T,UK,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP,Y_GE16,T,DE,2010-01-01,0.2,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP,Y_GE16,T,ES,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP,Y_GE16,T,EU27_2020,2010-01-01,0.6,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP,Y_GE16,T,FR,2010-01-01,0.2,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP,Y_GE16,T,IT,2010-01-01,1.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP,Y_GE16,T,UK,2010-01-01,0.0,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP_TFAR_WLIST,Y_GE16,T,DE,2010-01-01,0.8,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP_TFAR_WLIST,Y_GE16,T,ES,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP_TFAR_WLIST,Y_GE16,T,EU27_2020,2010-01-01,1.5,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP_TFAR_WLIST,Y_GE16,T,FR,2010-01-01,0.5,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP_TFAR_WLIST,Y_GE16,T,IT,2010-01-01,2.3,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,QU5,TXP_TFAR_WLIST,Y_GE16,T,UK,2010-01-01,0.9,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,TOTAL,TFAR,Y_GE16,T,DE,2010-01-01,0.2,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,TOTAL,TFAR,Y_GE16,T,ES,2010-01-01,0.1,,
ESTAT:HLTH_SILC_08(1.0),08/06/26 23:00:00,A,PC,TOTAL,TFAR,Y_GE16,T,EU27_2020,2010-01-01,0.2,,
