DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,1996-01-01,68.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,1997-01-01,69.8,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,1998-01-01,71.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,1999-01-01,72.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2000-01-01,74.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2001-01-01,75.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2002-01-01,77.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2003-01-01,80.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2004-01-01,81.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2005-01-01,83.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2006-01-01,85.6,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2007-01-01,87.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2008-01-01,90.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2009-01-01,91.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2010-01-01,92.6,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2011-01-01,95.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2012-01-01,98.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2013-01-01,99.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2014-01-01,99.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2015-01-01,100.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2016-01-01,99.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2017-01-01,101.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2018-01-01,102.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2019-01-01,103.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2020-01-01,103.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2021-01-01,105.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2022-01-01,114.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2023-01-01,120.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2024-01-01,122.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,A,INX_A_AVG,CP00,IT,2025-01-01,124.3,,
