DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,AT,2018-01-01,31976.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,BE,2018-01-01,34764.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,BG,2018-01-01,2785.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,CH,2018-01-01,13042.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,CY,2018-01-01,568.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,CZ,2018-01-01,15807.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,DE,2018-01-01,241356.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,DK,2018-01-01,26159.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,EA19,2018-01-01,823160.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,EA20,2018-01-01,826840.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,EA21,2018-01-01,829626.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,EE,2018-01-01,1410.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,EL,2018-01-01,10004.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,A,MIO_EUR,S13,GF07,TE,ES,2018-01-01,72146.0,,
