DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_295(1.0),A,IT,LIFEXP,1,Y0,2010-01-01,79.311,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,2,Y0,2010-01-01,84.345,,,,,,,,,,
IT1:26_295(1.0),A,IT,LIFEXP,9,Y0,2010-01-01,81.77,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,1,Y0,2010-01-01,79.401,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,2,Y0,2010-01-01,84.509,,,,,,,,,,
IT1:26_295(1.0),A,ITC,LIFEXP,9,Y0,2010-01-01,81.897,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,1,Y0,2010-01-01,79.562,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,2,Y0,2010-01-01,84.638,,,,,,,,,,
IT1:26_295(1.0),A,ITC4,LIFEXP,9,Y0,2010-01-01,82.043,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,1,Y0,2010-01-01,79.815,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,2,Y0,2010-01-01,85.0,,,,,,,,,,
IT1:26_295(1.0),A,ITD,LIFEXP,9,Y0,2010-01-01,82.349,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,1,Y0,2010-01-01,80.288,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,2,Y0,2010-01-01,85.244,,,,,,,,,,
IT1:26_295(1.0),A,ITD10,LIFEXP,9,Y0,2010-01-01,82.711,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,1,Y0,2010-01-01,80.058,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,2,Y0,2010-01-01,85.326,,,,,,,,,,
IT1:26_295(1.0),A,ITDA,LIFEXP,9,Y0,2010-01-01,82.633,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,1,Y0,2010-01-01,79.544,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,2,Y0,2010-01-01,84.506,,,,,,,,,,
IT1:26_295(1.0),A,ITE,LIFEXP,9,Y0,2010-01-01,81.968,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,1,Y0,2010-01-01,78.752,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,2,Y0,2010-01-01,83.713,,,,,,,,,,
IT1:26_295(1.0),A,ITF,LIFEXP,9,Y0,2010-01-01,81.174,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,1,Y0,2010-01-01,77.626,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,2,Y0,2010-01-01,82.632,,,,,,,,,,
IT1:26_295(1.0),A,ITF3,LIFEXP,9,Y0,2010-01-01,80.069,,,,,,,,,,
IT1:26_295(1.0),A,ITF6,LIFEXP,1,Y0,2010-01-01,78.975,,,,,,,,,,
