DATAFLOW,FREQ,REF_AREA,DATA_TYPE,HOSPITAL_TYPE,CLINICAL_SPECIALTY,MEDICAL_TECHNOLOGY,PROF_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_HOSPITAL_TYPE,NOTE_CLINICAL_SPECIALTY,NOTE_MEDICAL_TECHNOLOGY,NOTE_PROF_STATUS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,111,TOT,99,ALL,ALL,2010-01-01,3.48,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,18,TOT,99,ALL,ALL,2010-01-01,1165.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,IT,19,TOT,99,ALL,ALL,2010-01-01,210404.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,111,TOT,99,ALL,ALL,2010-01-01,3.59,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,18,TOT,99,ALL,ALL,2010-01-01,223.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITC,19,TOT,99,ALL,ALL,2010-01-01,57703.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,111,TOT,99,ALL,ALL,2010-01-01,3.7,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,18,TOT,99,ALL,ALL,2010-01-01,172.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITD,19,TOT,99,ALL,ALL,2010-01-01,42897.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,111,TOT,99,ALL,ALL,2010-01-01,3.45,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,18,TOT,99,ALL,ALL,2010-01-01,270.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITE,19,TOT,99,ALL,ALL,2010-01-01,41151.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,111,TOT,99,ALL,ALL,2010-01-01,3.18,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,18,TOT,99,ALL,ALL,2010-01-01,317.0,,,,,,,,,,,,
IT1:43_495_DF_DCIS_OSPEDSSN_1(1.0),A,ITF,19,TOT,99,ALL,ALL,2010-01-01,45136.0,,,,,,,,,,,,
