DATAFLOW,FREQ,REF_AREA,DATA_TYPE,PROF_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_PROF_STATUS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,ANEST,2013-01-01,2.01,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,MIDW,2013-01-01,2.49,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,MMG,2013-01-01,7.49,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,NURS,2013-01-01,50.74,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,PAEDIA,2013-01-01,2.9,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,PHARM,2013-01-01,11.35,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,SPECPRACT,2013-01-01,29.95,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,IT,121,TPHYS,2013-01-01,38.95,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,ANEST,2013-01-01,1.88,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,MIDW,2013-01-01,2.42,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,MMG,2013-01-01,6.88,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,NURS,2013-01-01,52.06,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,PAEDIA,2013-01-01,2.62,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,PHARM,2013-01-01,11.36,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,SPECPRACT,2013-01-01,28.73,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC,121,TPHYS,2013-01-01,36.52,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,ANEST,2013-01-01,1.98,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,MIDW,2013-01-01,2.45,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,MMG,2013-01-01,7.18,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,NURS,2013-01-01,53.53,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,PAEDIA,2013-01-01,2.31,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,PHARM,2013-01-01,12.8,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,SPECPRACT,2013-01-01,26.93,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC1,121,TPHYS,2013-01-01,35.13,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,ANEST,2013-01-01,2.5,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,MIDW,2013-01-01,3.51,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,MMG,2013-01-01,7.26,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,NURS,2013-01-01,60.34,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,PAEDIA,2013-01-01,2.73,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,PHARM,2013-01-01,10.46,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,SPECPRACT,2013-01-01,28.65,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC2,121,TPHYS,2013-01-01,36.61,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,ANEST,2013-01-01,2.41,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,MIDW,2013-01-01,1.94,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,MMG,2013-01-01,7.75,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,NURS,2013-01-01,63.24,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,PAEDIA,2013-01-01,2.78,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,PHARM,2013-01-01,13.97,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,SPECPRACT,2013-01-01,34.88,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC3,121,TPHYS,2013-01-01,44.02,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,ANEST,2013-01-01,1.75,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,MIDW,2013-01-01,2.47,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,MMG,2013-01-01,6.6,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,NURS,2013-01-01,49.51,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,PAEDIA,2013-01-01,2.74,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,PHARM,2013-01-01,10.31,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,SPECPRACT,2013-01-01,28.55,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITC4,121,TPHYS,2013-01-01,35.95,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,ANEST,2013-01-01,1.89,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,MIDW,2013-01-01,2.51,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,MMG,2013-01-01,6.88,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,NURS,2013-01-01,55.36,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,PAEDIA,2013-01-01,2.65,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,PHARM,2013-01-01,11.71,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,SPECPRACT,2013-01-01,28.39,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITCD,121,TPHYS,2013-01-01,36.4,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,ANEST,2013-01-01,1.9,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,MIDW,2013-01-01,2.64,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,MMG,2013-01-01,6.89,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,NURS,2013-01-01,59.92,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,PAEDIA,2013-01-01,2.68,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,PHARM,2013-01-01,12.19,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,SPECPRACT,2013-01-01,27.93,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD,121,TPHYS,2013-01-01,36.23,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,ANEST,2013-01-01,1.81,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,MIDW,2013-01-01,3.47,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,MMG,2013-01-01,5.45,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,NURS,2013-01-01,72.66,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,PAEDIA,2013-01-01,2.55,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,PHARM,2013-01-01,7.58,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,SPECPRACT,2013-01-01,23.47,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD1,121,TPHYS,2013-01-01,29.62,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,ANEST,2013-01-01,1.68,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,MIDW,2013-01-01,3.92,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,MMG,2013-01-01,6.82,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,NURS,2013-01-01,68.66,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,PAEDIA,2013-01-01,2.63,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,PHARM,2013-01-01,10.18,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,SPECPRACT,2013-01-01,23.1,,,,,,,,,
IT1:43_973_DF_DCIS_PERS_SANIT_1(1.0),A,ITD2,121,TPHYS,2013-01-01,31.84,,,,,,,,,
