DATAFLOW,FREQ,REF_AREA,DATA_TYPE_AGGR,HEALTHCARE_FUNCTION,HEALTHCARE_PROVIDER,HEALTHCARE_FINANC_SCHEME,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE_AGGR,NOTE_HEALTHCARE_FUNCTION,NOTE_HEALTHCARE_PROVIDER,NOTE_HEALTHCARE_FINANC_SCHEME,NOTE_EDITION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2012-01-01,143668.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2012-01-01,108264.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2012-01-01,32397.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2013-01-01,142505.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2013-01-01,107137.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2013-01-01,32409.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2014-01-01,144924.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2014-01-01,108598.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2014-01-01,33269.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2015-01-01,147133.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2015-01-01,108902.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2015-01-01,35012.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2016-01-01,148671.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2016-01-01,109925.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2016-01-01,35226.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2017-01-01,151607.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2017-01-01,111163.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2017-01-01,36579.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2018-01-01,153858.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2018-01-01,112877.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2018-01-01,36873.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2019-01-01,155427.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2019-01-01,113840.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2019-01-01,37108.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2020-01-01,159725.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2020-01-01,121113.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2020-01-01,34315.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2021-01-01,171015.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2021-01-01,127450.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2021-01-01,39015.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2022-01-01,176834.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2022-01-01,130345.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2022-01-01,41239.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2023-01-01,179252.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2023-01-01,130890.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2023-01-01,42480.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2024-01-01,186228.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2024-01-01,137108.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2024-01-01,42791.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,ALL_HF,2026M5,2025-01-01,190117.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF1,2026M5,2025-01-01,140789.0,,,,,,,,,,,
IT1:91_963_DF_DCCN_SHA_1(1.0),A,IT,CHE,ALL_HC,ALL_HP,HF3,2026M5,2025-01-01,42357.0,,,,,,,,,,,
