DATAFLOW,FREQ,REF_AREA,DOMAIN,DATA_TYPE,SEX,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_ISTAT_TERR_OFFICIAL_CODE,NOTE_DATA_TYPE,NOTE_DATA_TYPE_DESCR,NOTE_DATA_TYPE_SOURCE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_BES_TERRIT_1(1.0),A,IT,BES_01,01SAL006,T,2025,2010-01-01,9.8,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,IT,BES_01,01SAL020,T,2025,2010-01-01,20.1,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITC,BES_01,01SAL006,T,2025,2010-01-01,10.1,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITC,BES_01,01SAL020,T,2025,2010-01-01,19.7,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITC4,BES_01,01SAL006,T,2025,2010-01-01,10.1,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITC4,BES_01,01SAL020,T,2025,2010-01-01,19.4,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITD,BES_01,01SAL006,T,2025,2010-01-01,9.4,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITD,BES_01,01SAL020,T,2025,2010-01-01,18.7,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITDA,BES_01,01SAL006,T,2025,2010-01-01,9.3,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITDA,BES_01,01SAL020,T,2025,2010-01-01,18.7,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITE,BES_01,01SAL006,T,2025,2010-01-01,9.7,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITE,BES_01,01SAL020,T,2025,2010-01-01,19.3,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITF,BES_01,01SAL006,T,2025,2010-01-01,9.7,,,,,,01SAL006,01SAL006_SOU,,,STA_RA_PER_10THOU,
IT1:DF_BES_TERRIT_1(1.0),A,ITF,BES_01,01SAL020,T,2025,2010-01-01,21.8,,,,,,01SAL020,01SAL020_SOU,,,STA_RA_PER_10THOU,
