paese,salute_mln,spesa_totale_mln,quota_salute_pct,quota_salute_pct_direct,salute_pc_gdp,spesa_totale_pc_gdp,anno
IE,28136.5,116620.0,24.13,24.1,5.4,22.2,2023
CZ,28240.0,139412.0,20.26,20.3,8.8,43.7,2023
IS,2375.1,13251.4,17.92,17.9,8.1,45.2,2023
DK,30974.7,177351.5,17.47,17.5,8.3,47.4,2023
AT,43165.7,249471.2,17.3,17.3,9.0,52.2,2023
HR,6118.6,36648.6,16.7,16.7,7.7,46.3,2023
NL,74408.0,462064.0,16.1,16.1,7.1,44.0,2023
PT,18045.3,113640.9,15.88,15.9,6.7,42.0,2023
SI,4697.6,29814.3,15.76,15.8,7.3,46.5,2023
NO,32485.6,208877.9,15.55,15.6,7.0,45.0,2023
FR,249676.4,1607392.5,15.53,15.5,8.8,56.9,2023
DE,312210.0,2031433.0,15.37,15.4,7.4,48.1,2023
SE,39775.8,267649.1,14.86,14.9,7.4,50.0,2023
EU27_2020,1251371.9,8441568.3,14.82,14.8,7.2,48.9,2023
BE,47001.0,318074.9,14.78,14.8,7.8,52.8,2023
CY,1930.7,13183.5,14.64,14.6,6.0,40.6,2023
ES,98630.0,680225.0,14.5,14.5,6.6,45.4,2023
EE,2383.4,16524.3,14.42,14.4,6.2,43.1,2023
MT,1053.9,7486.3,14.08,14.1,5.0,35.8,2023
LT,3885.8,27640.6,14.06,14.1,5.2,37.2,2023
BG,5098.1,36724.0,13.88,13.9,5.4,38.9,2023
SK,8188.1,59595.8,13.74,13.7,6.6,48.2,2023
FI,20793.0,152619.0,13.62,13.6,7.6,55.9,2023
LV,2144.4,17190.1,12.47,12.5,5.4,43.4,2023
PL,42941.2,352348.0,12.19,12.2,5.7,46.9,2023
IT,139650.0,1149206.0,12.15,12.2,6.5,53.6,2023
EL,13247.0,111476.0,11.88,11.9,5.9,49.6,2023
LU,4433.6,38092.8,11.64,11.6,5.4,46.4,2023
RO,15277.8,132137.8,11.56,11.6,4.8,41.1,2023
HU,9265.4,97547.2,9.5,9.5,4.7,49.5,2023
CH,18606.2,276347.9,6.73,6.7,2.2,32.2,2023
