anno,spesa_nominale_mln,indice_prezzi_hicp_2015base,spesa_reale_mln_prezzi2024,quota_pil,quota_pil_eu27,popolazione,spesa_reale_procapite_eur_prezzi2024
1995,45760.2,65.9,84923.7,5.1,,56844408,1494.0
1996,53443.8,68.5,95418.6,5.2,,56844197,1679.0
1997,58826.7,69.8,103073.1,5.4,,56876364,1812.0
1998,60915.0,71.2,104633.5,5.4,,56904379,1839.0
1999,64393.0,72.3,108924.8,5.5,,56909109,1914.0
2000,71943.0,74.2,118579.9,5.8,,56923524,2083.0
2001,79689.0,75.9,128405.3,6.1,,56960692,2254.0
2002,84008.0,77.9,131889.3,6.2,,56993270,2314.0
2003,86930.0,80.1,132728.3,6.2,,57186378,2321.0
2004,95319.0,81.9,142338.4,6.5,,57611990,2471.0
2005,101690.0,83.7,148586.5,6.8,,58044368,2560.0
2006,106836.0,85.6,152640.7,6.8,,58288996,2619.0
2007,107648.0,87.3,150805.8,6.6,,58510725,2577.0
2008,114568.0,90.4,154996.3,7.0,,59001769,2627.0
2009,117133.0,91.1,157248.8,7.4,,59420592,2646.0
2010,119119.0,92.6,157324.6,7.4,7.2,59690316,2636.0
2011,116980.0,95.3,150122.3,7.1,7.1,59948497,2504.0
2012,115188.0,98.4,143165.6,7.1,7.1,60105185,2382.0
2013,114244.0,99.7,140140.8,7.0,7.1,60277309,2325.0
2014,115261.0,99.9,141105.3,7.0,7.1,60345917,2338.0
2015,115779.0,100.0,141597.7,7.0,7.0,60295497,2348.0
2016,116516.0,99.9,142641.7,6.8,7.0,60163712,2371.0
2017,117950.0,101.3,142401.6,6.8,6.9,60066734,2371.0
2018,119526.0,102.5,142614.9,6.7,6.9,59937769,2379.0
2019,121075.0,103.2,143483.3,6.7,7.0,59816673,2399.0
2020,130297.0,103.0,154711.9,7.8,8.0,59641488,2594.0
2021,135909.0,105.0,158301.6,7.4,8.0,59236213,2672.0
2022,137431.0,114.2,147178.7,6.9,7.6,59030133,2493.0
2023,139650.0,120.9,141267.1,6.5,7.2,58997201,2394.0
2024,146075.0,122.3,146075.0,6.6,7.4,58971230,2477.0
