REF_AREA	TIME_PERIOD	sa_8	sa_9	sa_10	all	quota_8_10
IT108	2024	236455.4	101972.4	93636.5	778564.0	55.50
IT109	2024	43919.9	17090.0	16008.4	149930.0	51.37
IT110	2024	95936.8	35139.2	43663.5	333822.0	52.35
IT111	2024	77104.1	33561.2	53597.6	301979.0	54.40
ITC11	2024	568595.1	248298.0	220760.1	1977341.0	52.48
ITC12	2024	43695.6	19404.8	18771.2	149546.0	54.75
ITC13	2024	46853.9	19098.5	18421.0	153450.0	54.98
ITC14	2024	44502.1	19626.0	20401.3	139397.0	60.64
ITC15	2024	96243.4	39306.5	42570.2	324695.0	54.86
ITC16	2024	157110.0	82569.3	64361.0	515373.0	58.99
ITC17	2024	53353.8	22897.2	24502.1	186117.0	54.13
ITC18	2024	103180.6	48233.8	44281.0	368734.0	53.07
ITC20	2024	34822.6	17610.7	13189.3	109766.0	59.78
ITC31	2024	59672.3	23691.0	25014.2	188895.0	57.37
ITC32	2024	71199.1	31533.6	31734.7	243024.0	55.33
ITC33	2024	222200.7	90037.0	81085.6	741208.0	53.07
ITC34	2024	56457.4	24799.4	24232.0	193987.0	54.38
ITC41	2024	226537.4	99323.7	91000.0	784593.0	53.13
ITC42	2024	163070.5	71905.5	65303.1	532676.0	56.37
ITC43	2024	92294.6	42649.1	38983.7	297654.0	58.43
ITC44	2024	50985.0	27117.0	23240.7	159435.0	63.56
ITC45	2024	849154.2	359280.4	318145.2	2883783.0	52.94
ITC46	2024	313077.9	133312.0	130529.2	985271.0	58.55
ITC47	2024	340655.4	158604.3	159114.1	1120059.0	58.78
ITC48	2024	141723.7	56426.6	54343.9	484826.0	52.08
ITC49	2024	60075.0	26092.8	27654.4	203337.0	55.98
ITC4A	2024	98752.0	42285.5	40842.0	315575.0	57.63
ITC4B	2024	108316.9	45630.9	45933.6	362551.0	55.13
ITD10	2024	151571.4	93116.3	70145.1	464654.0	67.76
ITD20	2024	155729.0	79163.3	71614.0	481867.0	63.61
ITD31	2024	244232.6	113903.5	102103.2	821887.0	56.00
ITD32	2024	223091.7	98651.2	86910.9	758957.0	53.84
ITD33	2024	55487.2	22718.8	23238.3	178974.0	56.68
ITD34	2024	228052.2	97895.6	84223.2	780799.0	52.53
ITD35	2024	209864.9	94313.8	86233.1	749917.0	52.06
